SK1_cnae_principal,Soma de cod_cnae_principal,dsc_cnae_principal,dt_carga
227,4641901,COMERCIO ATACADISTA DE TECIDOS DISPENSADA,2023-06-03 01:16:22
228,4679601,COMERCIO ATACADISTA DE TINTAS VERNIZES E SIMILARES,2023-06-03 01:16:22
229,4679604,COMERCIO ATACADISTA ESPECIALIZADO DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
230,4637199,COMERCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
231,4689399,COMERCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS INTERMEDIARIOS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
232,4511103,COMERCIO POR ATACADO DE AUTOMOVEIS CAMIONETAS E UTILITARIOS NOVOS E USADOS,2023-06-03 01:16:22
233,4511104,COMERCIO POR ATACADO DE CAMINHOES NOVOS E USADOS,2023-06-03 01:16:22
234,4541201,COMERCIO POR ATACADO DE MOTOCICLETAS E MOTONETAS,2023-06-03 01:16:22
235,4530701,COMERCIO POR ATACADO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES,2023-06-03 01:16:22
236,4530702,COMERCIO POR ATACADO DE PNEUMATICOS E CAMARAS DE AR,2023-06-03 01:16:22
237,4512902,COMERCIO SOB CONSIGNACAO DE VEICULOS AUTOMOTORES,2023-06-03 01:16:22
238,4789004,COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO,2023-06-03 01:16:22
239,4789004,COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO DISPENSADA,2023-06-03 01:16:22
240,4785701,COMERCIO VAREJISTA DE ANTIGUIDADES,2023-06-03 01:16:22
241,4755502,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,2023-06-03 01:16:22
242,4755502,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO DISPENSADA,2023-06-03 01:16:22
243,4763604,COMERCIO VAREJISTA DE ARTIGOS DE CACA PESCA E CAMPING,2023-06-03 01:16:22
244,4755503,COMERCIO VAREJISTA DE ARTIGOS DE CAMA MESA E BANHO,2023-06-03 01:16:22
245,4755503,COMERCIO VAREJISTA DE ARTIGOS DE CAMA MESA E BANHO DISPENSADA,2023-06-03 01:16:22
246,4754702,COMERCIO VAREJISTA DE ARTIGOS DE COLCHOARIA,2023-06-03 01:16:22
247,4754702,COMERCIO VAREJISTA DE ARTIGOS DE COLCHOARIA DISPENSADA,2023-06-03 01:16:22
248,4754703,COMERCIO VAREJISTA DE ARTIGOS DE ILUMINACAO,2023-06-03 01:16:22
249,4783101,COMERCIO VAREJISTA DE ARTIGOS DE JOALHERIA,2023-06-03 01:16:22
250,4774100,COMERCIO VAREJISTA DE ARTIGOS DE OPTICA,2023-06-03 01:16:22
251,4761003,COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA,2023-06-03 01:16:22
252,4783102,COMERCIO VAREJISTA DE ARTIGOS DE RELOJOARIA,2023-06-03 01:16:22
253,4759801,COMERCIO VAREJISTA DE ARTIGOS DE TAPECARIA CORTINAS E PERSIANAS,2023-06-03 01:16:22
254,4782202,COMERCIO VAREJISTA DE ARTIGOS DE VIAGEM,2023-06-03 01:16:22
255,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,2023-06-03 01:16:22
256,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS DISPENSADA,2023-06-03 01:16:22
257,4763602,COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS,2023-06-03 01:16:22
258,4763602,COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS DISPENSADA,2023-06-03 01:16:22
259,4789008,COMERCIO VAREJISTA DE ARTIGOS FOTOGRAFICOS E PARA FILMAGEM,2023-06-03 01:16:22
260,4773300,COMERCIO VAREJISTA DE ARTIGOS MEDICOS E ORTOPEDICOS,2023-06-03 01:16:22
261,4723700,COMERCIO VAREJISTA DE BEBIDAS,2023-06-03 01:16:22
262,4723700,COMERCIO VAREJISTA DE BEBIDAS DISPENSADA,2023-06-03 01:16:22
263,4763603,COMERCIO VAREJISTA DE BICICLETAS E TRICICLOS PECAS E ACESSORIOS,2023-06-03 01:16:22
264,4763603,COMERCIO VAREJISTA DE BICICLETAS E TRICICLOS PECAS E ACESSORIOS DISPENSADA,2023-06-03 01:16:22
265,4763601,COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS,2023-06-03 01:16:22
266,4744004,COMERCIO VAREJISTA DE CAL AREIA PEDRA BRITADA TIJOLOS E TELHAS,2023-06-03 01:16:22
267,4782201,COMERCIO VAREJISTA DE CALCADOS,2023-06-03 01:16:22
268,4782201,COMERCIO VAREJISTA DE CALCADOS DISPENSADA,2023-06-03 01:16:22
269,4722901,COMERCIO VAREJISTA DE CARNES ACOUGUES,2023-06-03 01:16:22
270,4722901,COMERCIO VAREJISTA DE CARNES ACOUGUES DISPENSADA,2023-06-03 01:16:22
271,4731800,COMERCIO VAREJISTA DE COMBUSTIVEIS PARA VEICULOS AUTOMOTORES,2023-06-03 01:16:22
272,4772500,COMERCIO VAREJISTA DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL,2023-06-03 01:16:22
273,4772500,COMERCIO VAREJISTA DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL DISPENSADA,2023-06-03 01:16:22
274,4762800,COMERCIO VAREJISTA DE DISCOS CDS DVDS E FITAS,2023-06-03 01:16:22
275,4721104,COMERCIO VAREJISTA DE DOCES BALAS BOMBONS E SEMELHANTES,2023-06-03 01:16:22
276,4763605,COMERCIO VAREJISTA DE EMBARCACOES E OUTROS VEICULOS RECREATIVOS PECAS E ACESSORIOS,2023-06-03 01:16:22
277,4789007,COMERCIO VAREJISTA DE EQUIPAMENTOS PARA ESCRITORIO,2023-06-03 01:16:22
278,4744001,COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,2023-06-03 01:16:22
279,4744001,COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS DISPENSADA,2023-06-03 01:16:22
280,4784900,COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP,2023-06-03 01:16:22
281,4724500,COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS,2023-06-03 01:16:22
282,4761002,COMERCIO VAREJISTA DE JORNAIS E REVISTAS,2023-06-03 01:16:22
283,4761002,COMERCIO VAREJISTA DE JORNAIS E REVISTAS DISPENSADA,2023-06-03 01:16:22
284,4721103,COMERCIO VAREJISTA DE LATICINIOS E FRIOS,2023-06-03 01:16:22
285,4761001,COMERCIO VAREJISTA DE LIVROS,2023-06-03 01:16:22
286,4732600,COMERCIO VAREJISTA DE LUBRIFICANTES,2023-06-03 01:16:22
287,4744002,COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS,2023-06-03 01:16:22
288,4744099,COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL,2023-06-03 01:16:22
289,4744099,COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL DISPENSADA,2023-06-03 01:16:22
290,4744005,COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
291,4744003,COMERCIO VAREJISTA DE MATERIAIS HIDRAULICOS,2023-06-03 01:16:22
292,4742300,COMERCIO VAREJISTA DE MATERIAL ELETRICO,2023-06-03 01:16:22
293,4742300,COMERCIO VAREJISTA DE MATERIAL ELETRICO DISPENSADA,2023-06-03 01:16:22
294,4771704,COMERCIO VAREJISTA DE MEDICAMENTOS VETERINARIOS,2023-06-03 01:16:22
295,4771704,COMERCIO VAREJISTA DE MEDICAMENTOS VETERINARIOS DISPENSADA,2023-06-03 01:16:22
296,4711301,COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS HIPERMERCADOS,2023-06-03 01:16:22
297,4712100,COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS MINIMERCADOS MERCEARIAS E ARMAZENS,2023-06-03 01:16:22
298,4712100,COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS MINIMERCADOS MERCEARIAS E ARMAZENS DISPENSADA,2023-06-03 01:16:22
299,4711302,COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS SUPERMERCADOS,2023-06-03 01:16:22
300,4729602,COMERCIO VAREJISTA DE MERCADORIAS EM LOJAS DE CONVENIENCIA,2023-06-03 01:16:22
301,4754701,COMERCIO VAREJISTA DE MOVEIS,2023-06-03 01:16:22
302,4754701,COMERCIO VAREJISTA DE MOVEIS DISPENSADA,2023-06-03 01:16:22
303,4789003,COMERCIO VAREJISTA DE OBJETOS DE ARTE,2023-06-03 01:16:22
304,4789003,COMERCIO VAREJISTA DE OBJETOS DE ARTE DISPENSADA,2023-06-03 01:16:22
305,4759899,COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
306,4759899,COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE DISPENSADA,2023-06-03 01:16:22
307,4785799,COMERCIO VAREJISTA DE OUTROS ARTIGOS USADOS,2023-06-03 01:16:22
308,4789099,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
309,4744006,COMERCIO VAREJISTA DE PEDRAS PARA REVESTIMENTO DISPENSADA,2023-06-03 01:16:22
310,4789002,COMERCIO VAREJISTA DE PLANTAS E FLORES NATURAIS,2023-06-03 01:16:22
311,4729699,COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
312,4729699,COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE DISPENSADA,2023-06-03 01:16:22
313,4771702,COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS COM MANIPULACAO DE FORMULAS,2023-06-03 01:16:22
314,4771701,COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS SEM MANIPULACAO DE FORMULAS,2023-06-03 01:16:22
315,4789005,COMERCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITARIOS,2023-06-03 01:16:22
316,4789001,COMERCIO VAREJISTA DE SUVENIRES BIJUTERIAS E ARTESANATOS,2023-06-03 01:16:22
317,4789001,COMERCIO VAREJISTA DE SUVENIRES BIJUTERIAS E ARTESANATOS DISPENSADA,2023-06-03 01:16:22
318,4755501,COMERCIO VAREJISTA DE TECIDOS,2023-06-03 01:16:22
319,4741500,COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA,2023-06-03 01:16:22
320,4743100,COMERCIO VAREJISTA DE VIDROS,2023-06-03 01:16:22
321,4753900,COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO,2023-06-03 01:16:22
322,4753900,COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO DISPENSADA,2023-06-03 01:16:22
323,4752100,COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO,2023-06-03 01:16:22
324,4752100,COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO DISPENSADA,2023-06-03 01:16:22
325,4751201,COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA,2023-06-03 01:16:22
326,4757100,COMERCIO VAREJISTA ESPECIALIZADO DE PECAS E ACESSORIOS PARA APARELHOS ELETROELETRONICOS PARA USO DOMESTICO EXCETO INFORMATICA E COMUNICACAO,2023-06-03 01:16:22
327,4757100,COMERCIO VAREJISTA ESPECIALIZADO DE PECAS E ACESSORIOS PARA APARELHOS ELETROELETRONICOS PARA USO DOMESTICO EXCETO INFORMATICA E COMUNICACAO DISPENSADA,2023-06-03 01:16:22
328,6810201,COMPRA E VENDA DE IMOVEIS PROPRIOS,2023-06-03 01:16:22
329,6810201,COMPRA E VENDA DE IMOVEIS PROPRIOS DISPENSADA,2023-06-03 01:16:22
330,5221400,CONCESSIONARIAS DE RODOVIAS PONTES TUNEIS E SERVICOS RELACIONADOS,2023-06-03 01:16:22
331,8112500,CONDOMINIOS PREDIAIS,2023-06-03 01:16:22
332,1412601,CONFECCAO DE PECAS DE VESTUARIO EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA,2023-06-03 01:16:22
333,1412601,CONFECCAO DE PECAS DE VESTUARIO EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA DISPENSADA,2023-06-03 01:16:22
334,1411801,CONFECCAO DE ROUPAS INTIMAS,2023-06-03 01:16:22
335,1413401,CONFECCAO DE ROUPAS PROFISSIONAIS EXCETO SOB MEDIDA,2023-06-03 01:16:22
336,1413401,CONFECCAO DE ROUPAS PROFISSIONAIS EXCETO SOB MEDIDA DISPENSADA,2023-06-03 01:16:22
337,1412602,CONFECCAO SOB MEDIDA DE PECAS DO VESTUARIO EXCETO ROUPAS INTIMAS,2023-06-03 01:16:22
338,1413402,CONFECCAO SOB MEDIDA DE ROUPAS PROFISSIONAIS,2023-06-03 01:16:22
339,4221901,CONSTRUCAO DE BARRAGENS E REPRESAS PARA GERACAO DE ENERGIA ELETRICA,2023-06-03 01:16:22
340,4120400,CONSTRUCAO DE EDIFICIOS,2023-06-03 01:16:22
341,3012100,CONSTRUCAO DE EMBARCACOES PARA ESPORTE E LAZER,2023-06-03 01:16:22
342,4221902,CONSTRUCAO DE ESTACOES E REDES DE DISTRIBUICAO DE ENERGIA ELETRICA,2023-06-03 01:16:22
343,4212000,CONSTRUCAO DE OBRAS DE ARTE ESPECIAIS,2023-06-03 01:16:22
344,4211101,CONSTRUCAO DE RODOVIAS E FERROVIAS,2023-06-03 01:16:22
345,7319004,CONSULTORIA EM PUBLICIDADE,2023-06-03 01:16:22
346,6204000,CONSULTORIA EM TECNOLOGIA DA INFORMACAO,2023-06-03 01:16:22
347,6204000,CONSULTORIA EM TECNOLOGIA DA INFORMACAO DISPENSADA,2023-06-03 01:16:22
348,6424703,COOPERATIVAS DE CREDITO MUTUO,2023-06-03 01:16:22
349,6619302,CORRESPONDENTES DE INSTITUICOES FINANCEIRAS,2023-06-03 01:16:22
350,6821801,CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS,2023-06-03 01:16:22
351,6821801,CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS DISPENSADA,2023-06-03 01:16:22
352,6821802,CORRETAGEM NO ALUGUEL DE IMOVEIS,2023-06-03 01:16:22
353,6612601,CORRETORAS DE TITULOS E VALORES MOBILIARIOS,2023-06-03 01:16:22
354,6622300,CORRETORES E AGENTES DE SEGUROS DE PLANOS DE PREVIDENCIA COMPLEMENTAR E DE SAUDE,2023-06-03 01:16:22
355,6622300,CORRETORES E AGENTES DE SEGUROS DE PLANOS DE PREVIDENCIA COMPLEMENTAR E DE SAUDE DISPENSADA,2023-06-03 01:16:22
356,159802,CRIACAO DE ANIMAIS DE ESTIMACAO,2023-06-03 01:16:22
357,155504,CRIACAO DE AVES EXCETO GALINACEOS,2023-06-03 01:16:22
358,151203,CRIACAO DE BOVINOS EXCETO PARA CORTE E LEITE,2023-06-03 01:16:22
359,151201,CRIACAO DE BOVINOS PARA CORTE,2023-06-03 01:16:22
360,151202,CRIACAO DE BOVINOS PARA LEITE,2023-06-03 01:16:22
361,153902,CRIACAO DE OVINOS INCLUSIVE PARA PRODUCAO DE LA,2023-06-03 01:16:22
362,154700,CRIACAO DE SUINOS,2023-06-03 01:16:22
363,133401,CULTIVO DE ACAI,2023-06-03 01:16:22
364,112101,CULTIVO DE ALGODAO HERBACEO,2023-06-03 01:16:22
365,116401,CULTIVO DE AMENDOIM,2023-06-03 01:16:22
366,111301,CULTIVO DE ARROZ,2023-06-03 01:16:22
367,133402,CULTIVO DE BANANA,2023-06-03 01:16:22
368,119903,CULTIVO DE BATATA INGLESA,2023-06-03 01:16:22
369,134200,CULTIVO DE CAFE,2023-06-03 01:16:22
370,113000,CULTIVO DE CANA DE ACUCAR,2023-06-03 01:16:22
371,133404,CULTIVO DE CITRICOS EXCETO LARANJA,2023-06-03 01:16:22
372,210101,CULTIVO DE EUCALIPTO,2023-06-03 01:16:22
373,122900,CULTIVO DE FLORES E PLANTAS ORNAMENTAIS,2023-06-03 01:16:22
374,133499,CULTIVO DE FRUTAS DE LAVOURA PERMANENTE NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
375,131800,CULTIVO DE LARANJA,2023-06-03 01:16:22
376,133407,CULTIVO DE MACA,2023-06-03 01:16:22
377,133410,CULTIVO DE MANGA,2023-06-03 01:16:22
378,111302,CULTIVO DE MILHO,2023-06-03 01:16:22
379,210106,CULTIVO DE MUDAS EM VIVEIROS FLORESTAIS,2023-06-03 01:16:22
380,116499,CULTIVO DE OUTRAS OLEAGINOSAS DE LAVOURA TEMPORARIA NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
381,139399,CULTIVO DE OUTRAS PLANTAS DE LAVOURA PERMANENTE NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
382,119999,CULTIVO DE OUTRAS PLANTAS DE LAVOURA TEMPORARIA NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
383,210103,CULTIVO DE PINUS,2023-06-03 01:16:22
384,139306,CULTIVO DE SERINGUEIRA,2023-06-03 01:16:22
385,115600,CULTIVO DE SOJA,2023-06-03 01:16:22
386,119909,CULTIVO DE TOMATE RASTEIRO,2023-06-03 01:16:22
387,132600,CULTIVO DE UVA,2023-06-03 01:16:22
388,8599605,CURSOS PREPARATORIOS PARA CONCURSOS,2023-06-03 01:16:22
389,2399101,DECORACAO LAPIDACAO GRAVACAO VITRIFICACAO E OUTROS TRABALHOS EM CERAMICA LOUCA VIDRO E CRISTAL,2023-06-03 01:16:22
390,8422100,DEFESA,2023-06-03 01:16:22
391,4311801,DEMOLICAO DE EDIFICIOS E OUTRAS ESTRUTURAS,2023-06-03 01:16:22
392,5211799,DEPOSITOS DE MERCADORIAS PARA TERCEIROS EXCETO ARMAZENS GERAIS E GUARDA MOVEIS,2023-06-03 01:16:22
393,3900500,DESCONTAMINACAO E OUTROS SERVICOS DE GESTAO DE RESIDUOS,2023-06-03 01:16:22
394,6201501,DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENCOMENDA,2023-06-03 01:16:22
395,6201501,DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENCOMENDA DISPENSADA,2023-06-03 01:16:22
396,6202300,DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZAVEIS,2023-06-03 01:16:22
397,6202300,DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZAVEIS DISPENSADA,2023-06-03 01:16:22
398,6203100,DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR NAO CUSTOMIZAVEIS,2023-06-03 01:16:22
399,7410202,DESIGN DE INTERIORES,2023-06-03 01:16:22
400,9329801,DISCOTECAS DANCETERIAS SALOES DE DANCA E SIMILARES,2023-06-03 01:16:22
401,3600602,DISTRIBUICAO DE AGUA POR CAMINHOES,2023-06-03 01:16:22
402,3520402,DISTRIBUICAO DE COMBUSTIVEIS GASOSOS POR REDES URBANAS,2023-06-03 01:16:22
403,3514000,DISTRIBUICAO DE ENERGIA ELETRICA,2023-06-03 01:16:22
404,5819100,EDICAO DE CADASTROS LISTAS E DE OUTROS PRODUTOS GRAFICOS,2023-06-03 01:16:22
405,5812301,EDICAO DE JORNAIS DIARIOS,2023-06-03 01:16:22
406,5812302,EDICAO DE JORNAIS NAO DIARIOS,2023-06-03 01:16:22
407,5811500,EDICAO DE LIVROS,2023-06-03 01:16:22
408,5811500,EDICAO DE LIVROS DISPENSADA,2023-06-03 01:16:22
409,5813100,EDICAO DE REVISTAS,2023-06-03 01:16:22
410,5829800,EDICAO INTEGRADA A IMPRESSAO DE CADASTROS LISTAS E DE OUTROS PRODUTOS GRAFICOS,2023-06-03 01:16:22
411,5822101,EDICAO INTEGRADA A IMPRESSAO DE JORNAIS DIARIOS,2023-06-03 01:16:22
412,5821200,EDICAO INTEGRADA A IMPRESSAO DE LIVROS,2023-06-03 01:16:22
413,8511200,EDUCACAO INFANTIL CRECHE,2023-06-03 01:16:22
414,8512100,EDUCACAO INFANTIL PRE ESCOLA,2023-06-03 01:16:22
415,8541400,EDUCACAO PROFISSIONAL DE NIVEL TECNICO,2023-06-03 01:16:22
416,8531700,EDUCACAO SUPERIOR GRADUACAO,2023-06-03 01:16:22
417,8532500,EDUCACAO SUPERIOR GRADUACAO E POS GRADUACAO,2023-06-03 01:16:22
418,8533300,EDUCACAO SUPERIOR POS GRADUACAO E EXTENSAO,2023-06-03 01:16:22
419,8592999,ENSINO DE ARTE E CULTURA NAO ESPECIFICADO ANTERIORMENTE,2023-06-03 01:16:22
420,8592902,ENSINO DE ARTES CENICAS EXCETO DANCA,2023-06-03 01:16:22
421,8591100,ENSINO DE ESPORTES,2023-06-03 01:16:22
422,8593700,ENSINO DE IDIOMAS,2023-06-03 01:16:22
423,8593700,ENSINO DE IDIOMAS DISPENSADA,2023-06-03 01:16:22
424,8592903,ENSINO DE MUSICA,2023-06-03 01:16:22
425,8513900,ENSINO FUNDAMENTAL,2023-06-03 01:16:22
426,8520100,ENSINO MEDIO,2023-06-03 01:16:22
427,8292000,ENVASAMENTO E EMPACOTAMENTO SOB CONTRATO,2023-06-03 01:16:22
428,5223100,ESTACIONAMENTO DE VEICULOS,2023-06-03 01:16:22
429,1340501,ESTAMPARIA E TEXTURIZACAO EM FIOS TECIDOS ARTEFATOS TEXTEIS E PECAS DO VESTUARIO,2023-06-03 01:16:22
430,5911101,ESTUDIOS CINEMATOGRAFICOS,2023-06-03 01:16:22
431,9200399,EXPLORACAO DE JOGOS DE AZAR E APOSTAS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
432,9329804,EXPLORACAO DE JOGOS ELETRONICOS RECREATIVOS,2023-06-03 01:16:22
433,810006,EXTRACAO DE AREIA CASCALHO OU PEDREGULHO E BENEFICIAMENTO ASSOCIADO,2023-06-03 01:16:22
434,810004,EXTRACAO DE CALCARIO E DOLOMITA E BENEFICIAMENTO ASSOCIADO,2023-06-03 01:16:22
435,810002,EXTRACAO DE GRANITO E BENEFICIAMENTO ASSOCIADO,2023-06-03 01:16:22
436,220901,EXTRACAO DE MADEIRA EM FLORESTAS NATIVAS,2023-06-03 01:16:22
437,210107,EXTRACAO DE MADEIRA EM FLORESTAS PLANTADAS,2023-06-03 01:16:22
438,721901,EXTRACAO DE MINERIO DE ALUMINIO,2023-06-03 01:16:22
439,710301,EXTRACAO DE MINERIO DE FERRO,2023-06-03 01:16:22
440,724301,EXTRACAO DE MINERIO DE METAIS PRECIOSOS,2023-06-03 01:16:22
441,600001,EXTRACAO DE PETROLEO E GAS NATURAL,2023-06-03 01:16:22
442,810099,EXTRACAO E BRITAMENTO DE PEDRAS E OUTROS MATERIAIS PARA CONSTRUCAO E BENEFICIAMENTO ASSOCIADO,2023-06-03 01:16:22
443,1071600,FABRICACAO DE ACUCAR EM BRUTO,2023-06-03 01:16:22
444,2093200,FABRICACAO DE ADITIVOS DE USO INDUSTRIAL,2023-06-03 01:16:22
445,2013402,FABRICACAO DE ADUBOS E FERTILIZANTES EXCETO ORGANO MINERAIS,2023-06-03 01:16:22
446,3041500,FABRICACAO DE AERONAVES,2023-06-03 01:16:22
447,1099607,FABRICACAO DE ALIMENTOS DIETETICOS E COMPLEMENTOS ALIMENTARES,2023-06-03 01:16:22
448,1096100,FABRICACAO DE ALIMENTOS E PRATOS PRONTOS,2023-06-03 01:16:22
449,1066000,FABRICACAO DE ALIMENTOS PARA ANIMAIS,2023-06-03 01:16:22
450,1065101,FABRICACAO DE AMIDOS E FECULAS DE VEGETAIS,2023-06-03 01:16:22
451,2640000,FABRICACAO DE APARELHOS DE RECEPCAO REPRODUCAO GRAVACAO E AMPLIFICACAO DE AUDIO E VIDEO,2023-06-03 01:16:22
452,2651500,FABRICACAO DE APARELHOS E EQUIPAMENTOS DE MEDIDA TESTE E CONTROLE,2023-06-03 01:16:22
453,2731700,FABRICACAO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUICAO E CONTROLE DE ENERGIA ELETRICA,2023-06-03 01:16:22
454,2632900,FABRICACAO DE APARELHOS TELEFONICOS E DE OUTROS EQUIPAMENTOS DE COMUNICACAO PECAS E ACESSORIOS,2023-06-03 01:16:22
455,2550102,FABRICACAO DE ARMAS DE FOGO OUTRAS ARMAS E MUNICOES,2023-06-03 01:16:22
456,2219600,FABRICACAO DE ARTEFATOS DE BORRACHA NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
457,2342702,FABRICACAO DE ARTEFATOS DE CERAMICA E BARRO COZIDO PARA USO NA CONSTRUCAO EXCETO AZULEJOS E PISOS,2023-06-03 01:16:22
458,2330302,FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO,2023-06-03 01:16:22
459,1529700,FABRICACAO DE ARTEFATOS DE COURO NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
460,2330303,FABRICACAO DE ARTEFATOS DE FIBROCIMENTO PARA USO NA CONSTRUCAO,2023-06-03 01:16:22
461,3211602,FABRICACAO DE ARTEFATOS DE JOALHERIA E OURIVESARIA,2023-06-03 01:16:22
462,2229399,FABRICACAO DE ARTEFATOS DE MATERIAL PLASTICO PARA OUTROS USOS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
463,2229301,FABRICACAO DE ARTEFATOS DE MATERIAL PLASTICO PARA USO PESSOAL E DOMESTICO,2023-06-03 01:16:22
464,1623400,FABRICACAO DE ARTEFATOS DE TANOARIA E DE EMBALAGENS DE MADEIRA,2023-06-03 01:16:22
465,1352900,FABRICACAO DE ARTEFATOS DE TAPECARIA,2023-06-03 01:16:22
466,1629302,FABRICACAO DE ARTEFATOS DIVERSOS DE CORTICA BAMBU PALHA VIME E OUTROS MATERIAIS TRANCADOS EXCETO MOVEIS,2023-06-03 01:16:22
467,1629301,FABRICACAO DE ARTEFATOS DIVERSOS DE MADEIRA EXCETO MOVEIS,2023-06-03 01:16:22
468,1351100,FABRICACAO DE ARTEFATOS TEXTEIS PARA USO DOMESTICO,2023-06-03 01:16:22
469,2541100,FABRICACAO DE ARTIGOS DE CUTELARIA,2023-06-03 01:16:22
470,2542000,FABRICACAO DE ARTIGOS DE SERRALHERIA EXCETO ESQUADRIAS,2023-06-03 01:16:22
