SK1_cnae_principal,Soma de cod_cnae_principal,dsc_cnae_principal,dt_carga
53,8720499,ATIVIDADES DE ASSISTENCIA PSICOSSOCIAL E A SAUDE A PORTADORES DE DISTURBIOS PSIQUICOS DEFICIENCIA MENTAL E DEPENDENCIA QUIMICA E GRUPOS SIMILARES NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
54,8730199,ATIVIDADES DE ASSISTENCIA SOCIAL PRESTADAS EM RESIDENCIAS COLETIVAS E PARTICULARES NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
55,9430800,ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS,2023-06-03 01:16:22
56,9430800,ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS DISPENSADA,2023-06-03 01:16:22
57,8630599,ATIVIDADES DE ATENCAO AMBULATORIAL NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
58,8610102,ATIVIDADES DE ATENDIMENTO EM PRONTO SOCORRO E UNIDADES HOSPITALARES PARA ATENDIMENTO A URGENCIAS,2023-06-03 01:16:22
59,8610101,ATIVIDADES DE ATENDIMENTO HOSPITALAR EXCETO PRONTO SOCORRO E UNIDADES PARA ATENDIMENTO A URGENCIAS,2023-06-03 01:16:22
60,8720401,ATIVIDADES DE CENTROS DE ASSISTENCIA PSICOSSOCIAL,2023-06-03 01:16:22
61,8291100,ATIVIDADES DE COBRANCAS E INFORMACOES CADASTRAIS,2023-06-03 01:16:22
62,8291100,ATIVIDADES DE COBRANCAS E INFORMACOES CADASTRAIS DISPENSADA,2023-06-03 01:16:22
63,9313100,ATIVIDADES DE CONDICIONAMENTO FISICO,2023-06-03 01:16:22
64,6920602,ATIVIDADES DE CONSULTORIA E AUDITORIA CONTABIL E TRIBUTARIA,2023-06-03 01:16:22
65,6920602,ATIVIDADES DE CONSULTORIA E AUDITORIA CONTABIL E TRIBUTARIA DISPENSADA,2023-06-03 01:16:22
66,7020400,ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL EXCETO CONSULTORIA TECNICA ESPECIFICA,2023-06-03 01:16:22
67,7020400,ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL EXCETO CONSULTORIA TECNICA ESPECIFICA DISPENSADA,2023-06-03 01:16:22
68,6920601,ATIVIDADES DE CONTABILIDADE,2023-06-03 01:16:22
69,6920601,ATIVIDADES DE CONTABILIDADE DISPENSADA,2023-06-03 01:16:22
70,5250802,ATIVIDADES DE DESPACHANTES ADUANEIROS,2023-06-03 01:16:22
71,8650001,ATIVIDADES DE ENFERMAGEM,2023-06-03 01:16:22
72,9602502,ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA,2023-06-03 01:16:22
73,7119702,ATIVIDADES DE ESTUDOS GEOLOGICOS,2023-06-03 01:16:22
74,5914600,ATIVIDADES DE EXIBICAO CINEMATOGRAFICA,2023-06-03 01:16:22
75,8650004,ATIVIDADES DE FISIOTERAPIA,2023-06-03 01:16:22
76,8650006,ATIVIDADES DE FONOAUDIOLOGIA,2023-06-03 01:16:22
77,8712300,ATIVIDADES DE FORNECIMENTO DE INFRA ESTRUTURA DE APOIO E ASSISTENCIA A PACIENTE NO DOMICILIO,2023-06-03 01:16:22
78,5920100,ATIVIDADES DE GRAVACAO DE SOM E DE EDICAO DE MUSICA,2023-06-03 01:16:22
79,7490104,ATIVIDADES DE INTERMEDIACAO E AGENCIAMENTO DE SERVICOS E NEGOCIOS EM GERAL EXCETO IMOBILIARIOS,2023-06-03 01:16:22
80,7490104,ATIVIDADES DE INTERMEDIACAO E AGENCIAMENTO DE SERVICOS E NEGOCIOS EM GERAL EXCETO IMOBILIARIOS DISPENSADA,2023-06-03 01:16:22
81,8129000,ATIVIDADES DE LIMPEZA NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
82,8020001,ATIVIDADES DE MONITORAMENTO DE SISTEMAS DE SEGURANCA ELETRONICO,2023-06-03 01:16:22
83,8020001,ATIVIDADES DE MONITORAMENTO DE SISTEMAS DE SEGURANCA ELETRONICO DISPENSADA,2023-06-03 01:16:22
