cnpj,razao_social,cod_acao_reduzido,cod_acao,dt_abertura,matriz_empresa,endereco_municipio,endereco_uf,endereco_regiao,situacao_cadastral,optante_simples,optante_simei,dt_carga
74012436000137,NI,NI,NI,1993-12-09 00:00:00,true,PIRIPIRI,PI,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
74055047000199,NI,NI,NI,1993-12-16 00:00:00,true,CURITIBA,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
74063892000106,NI,NI,NI,1994-01-10 00:00:00,true,RIO DE JANEIRO,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
74139015000171,NI,NI,NI,1994-01-28 00:00:00,true,SAO JOSE DO CEDRO,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
74259359000114,NI,NI,NI,1994-01-10 00:00:00,true,ORIENTE,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
74315607000105,NI,NI,NI,1994-01-27 00:00:00,true,GUARULHOS,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
74327057000136,NI,NI,NI,1994-11-09 00:00:00,true,OSASCO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
74336629000143,NI,NI,NI,1994-07-20 00:00:00,true,SAO CAETANO DO SUL,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
74367350000127,NI,NI,NI,1994-02-01 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
74579665000138,NI,NI,NI,1994-03-29 00:00:00,true,IBIUNA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
74613415000258,NI,NI,NI,2006-10-27 00:00:00,false,SAO CARLOS,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
74663238000133,NI,NI,NI,1994-04-20 00:00:00,true,VALPARAISO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
74736463000152,NI,NI,NI,1994-10-24 00:00:00,true,ROSARIO DO SUL,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
75039354000149,NI,NI,NI,1980-08-08 00:00:00,true,TOLEDO,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
75063719000170,NI,NI,NI,1972-04-07 00:00:00,true,PINHAIS,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
75315333000109,CARREFOUR BR,CRFB,CRFB3,1973-08-28 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,false,false,2023-06-01 17:20:11
75567180000197,NI,NI,NI,1985-09-18 00:00:00,true,CRICIUMA,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
75584110019166,NI,NI,NI,2022-06-02 00:00:00,false,TIBAGI,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
75795898000130,NI,NI,NI,1981-11-24 00:00:00,true,SAO FRANCISCO DO SUL,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
75835629000150,NI,NI,NI,1982-03-04 00:00:00,true,TAIO,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
75874164000147,NI,NI,NI,1966-09-30 00:00:00,true,CAMPO MOURAO,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
76084508000187,NI,NI,NI,1970-04-10 00:00:00,true,CASCAVEL,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
76214022000116,NI,NI,NI,1969-08-01 00:00:00,true,COLOMBO,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
76483817000120,COPEL,CPLE,"CPLE6, CPLE5, CPLE3",1966-08-03 00:00:00,true,CURITIBA,PR,SUL,ATIVA,false,false,2023-06-01 17:20:11
76484013000145,SANEPAR,SAPR,"SAPR4, SAPR3, SAPR11",1968-01-26 00:00:00,true,CURITIBA,PR,SUL,ATIVA,false,false,2023-06-01 17:20:11
76535764000143,OI,OIBR,"OIBR4, OIBR3",1966-09-26 00:00:00,true,RIO DE JANEIRO,RJ,SUDESTE,ATIVA,false,false,2023-06-01 17:20:11
76596030000174,NI,NI,NI,1983-03-16 00:00:00,true,CRICIUMA,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
76626993000254,NI,NI,NI,1969-12-31 00:00:00,false,CURITIBA,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
76627504000106,INEPAR,INEP,"INEP4, INEP3",1971-12-20 00:00:00,true,CURITIBA,PR,SUL,ATIVA,false,false,2023-06-01 17:20:11
76666429000184,NI,NI,NI,1983-02-23 00:00:00,true,CASCAVEL,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
76701515000180,NI,NI,NI,1988-12-06 00:00:00,true,BALNEARIO PICARRAS,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
76709831000875,NI,NI,NI,1982-01-22 00:00:00,false,MARECHAL CANDIDO RONDON,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
76779016000106,NI,NI,NI,1983-05-16 00:00:00,true,CURITIBA,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
