cnpj,razao_social,cod_acao_reduzido,cod_acao,dt_abertura,matriz_empresa,endereco_municipio,endereco_uf,endereco_regiao,situacao_cadastral,optante_simples,optante_simei,dt_carga
00000000000191,BRASIL,BBAS,"BBAS11, BBAS12, BBAS3",1966-08-01 00:00:00,true,BRASILIA,DF,CENTRO-OESTE,ATIVA,false,false,2023-06-01 17:20:11
00000208000100,BRB BANCO,BSLI,"BSLI4, BSLI3",1966-08-04 00:00:00,true,BRASILIA,DF,CENTRO-OESTE,ATIVA,false,false,2023-06-01 17:20:11
00001180000126,ELETROBRAS,ELET,"ELET3, ELET5, ELET6",1966-08-19 00:00:00,true,BRASILIA,DF,CENTRO-OESTE,ATIVA,false,false,2023-06-01 17:20:11
00015813000155,NI,NI,NI,1994-06-13 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00019682000184,NI,NI,NI,1994-06-17 00:00:00,true,HORTOLANDIA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00067246000261,NI,NI,NI,2000-11-11 00:00:00,false,RODELAS,BA,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00070698000111,CEB,CEBR,"CEBR6, CEBR5, CEBR3",1969-01-17 00:00:00,true,BRASILIA,DF,CENTRO-OESTE,ATIVA,false,false,2023-06-01 17:20:11
00084435000161,NI,NI,NI,1994-06-07 00:00:00,true,PORTO ALEGRE,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00091368000102,NI,NI,NI,1994-06-16 00:00:00,true,PORTO ALEGRE,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00093489000193,NI,NI,NI,1972-10-01 00:00:00,true,COLOMBO,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00099282000126,NI,NI,NI,1994-06-27 00:00:00,true,CORINTO,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00102555000144,NI,NI,NI,1994-06-30 00:00:00,true,TERESINA,PI,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00105012000180,NI,NI,NI,1994-07-05 00:00:00,true,BLUMENAU,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00107964000133,NI,NI,NI,1994-07-04 00:00:00,true,FERNANDO PRESTES,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00114313000170,NI,NI,NI,1994-07-14 00:00:00,true,ELDORADO DO SUL,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00135717000140,NI,NI,NI,1994-08-05 00:00:00,true,APARECIDA DE GOIANIA,GO,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00154468000130,NI,NI,NI,1983-01-20 00:00:00,true,APARECIDA DE GOIANIA,GO,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00170764000125,NI,NI,NI,1994-08-29 00:00:00,true,FLORIANOPOLIS,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00212004000133,NI,NI,NI,1994-09-14 00:00:00,true,LUCELIA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00226218000169,NI,NI,NI,1994-09-26 00:00:00,true,ITAPETININGA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00238295000139,NI,NI,NI,1983-05-05 00:00:00,true,TRINDADE,GO,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00239885000186,NI,NI,NI,1994-10-10 00:00:00,true,DIADEMA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00242184000104,ARMAC,ARML,ARML3,1994-10-05 00:00:00,true,BARUERI,SP,SUDESTE,ATIVA,false,false,2023-06-01 17:20:11
00245780000130,NI,NI,NI,1994-10-17 00:00:00,true,GAROPABA,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00253968000120,NI,NI,NI,1994-10-19 00:00:00,true,CARAGUATATUBA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00261682000196,NI,NI,NI,1994-10-05 00:00:00,true,BOITUVA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00272185000193,CIMS,CMSA,"CMSA3, CMSA4",1994-10-18 00:00:00,true,RIO DE JANEIRO,RJ,SUDESTE,ATIVA,false,false,2023-06-01 17:20:11
00280168000106,NI,NI,NI,1994-11-01 00:00:00,true,IJUI,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00300193000104,NI,NI,NI,1994-11-16 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00308055000244,NI,NI,NI,1997-08-01 00:00:00,false,CAXIAS DO SUL,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00314904000191,NI,NI,NI,1994-11-18 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00328207000190,NI,NI,NI,1994-11-14 00:00:00,true,RONCADOR,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00334608000152,NI,NI,NI,1994-12-06 00:00:00,true,NOVA SANTA ROSA,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00336701000104,TELEBRAS,TELB,"TELB4, TELB3",1972-11-13 00:00:00,true,BRASILIA,DF,CENTRO-OESTE,ATIVA,false,false,2023-06-01 17:20:11
00343761000146,NI,NI,NI,1969-04-14 00:00:00,true,SALVADOR,BA,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00343866000103,NI,NI,NI,1994-12-13 00:00:00,true,CAMPINA GRANDE,PB,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00359742000108,ATOMPAR,ATOM,ATOM3,1994-12-20 00:00:00,true,SOROCABA,SP,SUDESTE,ATIVA,false,false,2023-06-01 17:20:11
00360305046449,NI,NI,NI,1971-02-03 00:00:00,false,CARAZINHO,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00360305201436,NI,NI,NI,1989-01-18 00:00:00,false,RIBEIRAO PRETO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00360305212713,NI,NI,NI,1982-11-22 00:00:00,false,FAXINAL DO SOTURNO,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00363230000115,NI,NI,NI,1994-12-19 00:00:00,true,BLUMENAU,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00363822000137,NI,NI,NI,1994-12-13 00:00:00,true,RIO DE JANEIRO,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00364258000177,NI,NI,NI,1994-12-20 00:00:00,true,RIO CLARO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00375358000107,NI,NI,NI,1994-12-09 00:00:00,true,CORDEIRO,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00377400000110,NI,NI,NI,1995-01-05 00:00:00,true,GRAVATAI,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00380205000140,NI,NI,NI,1995-01-05 00:00:00,true,CAXIAS DO SUL,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00394727000109,NI,NI,NI,1995-01-17 00:00:00,true,RIO GRANDE,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00416627000128,NI,NI,NI,1995-02-01 00:00:00,true,RECIFE,PE,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00416968000101,BANCO INTER,BIDI,"BIDI3, BIDI11, BIDI4",1995-02-01 00:00:00,true,BELO HORIZONTE,MG,SUDESTE,ATIVA,false,false,2023-06-01 17:20:11
00436042033000,NI,NI,NI,2021-06-16 00:00:00,false,ITAQUAQUECETUBA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00438092000196,NI,NI,NI,1995-02-16 00:00:00,true,BELO HORIZONTE,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00445523000141,NI,NI,NI,1995-02-21 00:00:00,true,PORTEIRINHA,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00451501000356,NI,NI,NI,2015-08-05 00:00:00,false,JUAZEIRO DO PIAUI,PI,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00454686001324,NI,NI,NI,2019-09-11 00:00:00,false,BRASILIA,DF,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00493263000180,NI,NI,NI,1995-03-15 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00499002000177,NI,NI,NI,1995-03-22 00:00:00,true,BALNEARIO CAMBORIU,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00499427000186,NI,NI,NI,1995-03-22 00:00:00,true,BAIXO GUANDU,ES,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00510726000174,NI,NI,NI,1995-03-22 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00524133000167,NI,NI,NI,1995-03-16 00:00:00,true,CAJAMAR,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00524965000183,NI,NI,NI,1995-03-29 00:00:00,true,LIMEIRA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00567219000177,NI,NI,NI,1995-04-26 00:00:00,true,GOIANIA,GO,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00570023000212,NI,NI,NI,2004-06-16 00:00:00,false,ITAPECERICA DA SERRA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00590891000183,NI,NI,NI,1995-05-08 00:00:00,true,VILA VELHA,ES,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00595238000107,NI,NI,NI,1995-05-02 00:00:00,true,SAO CAETANO DO SUL,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00604821000137,NI,NI,NI,1995-05-18 00:00:00,true,PARAUAPEBAS,PA,NORTE,ATIVA,NI,NI,2023-06-01 17:20:11
00622416000141,STATKRAFT,STKF,STKF3,1995-05-25 00:00:00,true,FLORIANOPOLIS,SC,SUL,ATIVA,false,false,2023-06-01 17:20:11
00632906000129,NI,NI,NI,1995-05-31 00:00:00,true,SOROCABA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00638765000151,NI,NI,NI,1995-05-26 00:00:00,true,ALFREDO VASCONCELOS,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00640409000334,NI,NI,NI,1991-06-27 00:00:00,false,BRASILIA,DF,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00652506000185,NI,NI,NI,1995-06-14 00:00:00,true,CONCEICAO DOS OUROS,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00654141000128,NI,NI,NI,1995-06-14 00:00:00,true,GOIANESIA,GO,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00660501000102,NI,NI,NI,1995-06-21 00:00:00,true,IACIARA,GO,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00678726000188,NI,NI,NI,1995-07-03 00:00:00,true,LEOPOLDO DE BULHOES,GO,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00681725000192,NI,NI,NI,1995-06-06 00:00:00,true,GUARULHOS,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00689293000166,NI,NI,NI,1995-07-10 00:00:00,true,NATAL,RN,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00689409000167,NI,NI,NI,1995-07-10 00:00:00,true,GRAJAU,MA,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00691808000162,NI,NI,NI,1983-01-27 00:00:00,true,BRASILIA,DF,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00692988000105,NI,NI,NI,1983-02-17 00:00:00,true,BRASILIA,DF,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00693410000165,NI,NI,NI,1995-07-11 00:00:00,true,GOIANIA,GO,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00702298000181,NI,NI,NI,1995-07-13 00:00:00,true,GUANAMBI,BA,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00707599000106,NI,NI,NI,1995-07-19 00:00:00,true,ALIANCA DO TOCANTINS,TO,NORTE,ATIVA,NI,NI,2023-06-01 17:20:11
00717342000127,NI,NI,NI,1995-07-12 00:00:00,true,NOVA BRESCIA,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00718237000102,NI,NI,NI,1995-07-13 00:00:00,true,PORTO ALEGRE,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00719369000159,NI,NI,NI,1984-09-26 00:00:00,true,BRASILIA,DF,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00726207000148,NI,NI,NI,1995-07-25 00:00:00,true,CAMPINAS,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00735995000139,NI,NI,NI,1995-07-31 00:00:00,true,PARA DE MINAS,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00737548000461,NI,NI,NI,1997-02-18 00:00:00,false,IEPE,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00743065000127,LITEL,LTEL,LTEL3B,1995-08-07 00:00:00,true,RIO DE JANEIRO,RJ,SUDESTE,ATIVA,false,false,2023-06-01 17:20:11
00744612000199,NI,NI,NI,1995-08-03 00:00:00,true,MAGE,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00749627000140,NI,NI,NI,1995-08-04 00:00:00,true,ROSEIRA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00757265000139,NI,NI,NI,1995-08-16 00:00:00,true,LONDRINA,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00776574000156,B2W DIGITAL,BTOW,BTOW3,1995-08-22 00:00:00,false,OSASCO,SP,SUDESTE,ATIVA,false,false,2023-06-01 17:20:11
00779911000169,NI,NI,NI,1995-08-24 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00781727000153,NI,NI,NI,1995-08-30 00:00:00,true,NOVA IGUACU,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00814629002380,NI,NI,NI,2019-10-11 00:00:00,false,PASSAGEM FRANCA,MA,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00815593000900,NI,NI,NI,2018-12-21 00:00:00,false,SUMARE,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00821000000152,NI,NI,NI,1995-08-30 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00831155000170,NI,NI,NI,1995-09-20 00:00:00,true,SANTOS,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00840667000100,NI,NI,NI,1995-09-05 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00850753000196,NI,NI,NI,1995-10-10 00:00:00,true,MARINGA,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00864214000106,ENERGISA,ENGI,"ENGI11, ENGI3, ENGI4",1995-08-29 00:00:00,true,CATAGUASES,MG,SUDESTE,ATIVA,false,false,2023-06-01 17:20:11
00865320000295,NI,NI,NI,2001-08-02 00:00:00,false,CAMPOS DOS GOYTACAZES,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00879995000102,NI,NI,NI,1995-10-16 00:00:00,true,BRUSQUE,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
00901581000132,NI,NI,NI,1995-11-07 00:00:00,true,RIO DE JANEIRO,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00917868000150,NI,NI,NI,1995-11-21 00:00:00,true,SANTOS,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00924429000175,FER C ATLANT,VSPT,"VSPT3, VSPT4",1995-11-16 00:00:00,true,BELO HORIZONTE,MG,SUDESTE,ATIVA,false,false,2023-06-01 17:20:11
00932182000210,NI,NI,NI,2017-07-05 00:00:00,false,RIO DE JANEIRO,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
00936589000134,NI,NI,NI,1995-11-28 00:00:00,true,MANAUS,AM,NORTE,ATIVA,NI,NI,2023-06-01 17:20:11
00938574000105,CONC RIO TER,CRTE,"CRTE3B, CRTE5B",1995-11-21 00:00:00,true,MAGE,RJ,SUDESTE,ATIVA,false,false,2023-06-01 17:20:11
00953536000121,NI,NI,NI,1995-12-07 00:00:00,true,SANTA CRUZ DO SUL,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
01000045000129,NI,NI,NI,1995-10-23 00:00:00,true,NOVA FRIBURGO,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01006434000161,NI,NI,NI,1996-01-09 00:00:00,true,PANAMBI,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
01009376000120,NI,NI,NI,1996-01-19 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01027058000191,CIELO,CIEL,CIEL3,1995-12-27 00:00:00,true,BARUERI,SP,SUDESTE,ATIVA,false,false,2023-06-01 17:20:11
01037606000164,NI,NI,NI,1996-01-30 00:00:00,true,CACONDE,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01042643000160,NI,NI,NI,1996-02-07 00:00:00,true,PARA DE MINAS,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01073582000107,NI,NI,NI,1996-03-01 00:00:00,true,SALVADOR,BA,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01082384000100,NI,NI,NI,1996-03-11 00:00:00,true,SANT ANA DO LIVRAMENTO,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
01082569000106,NI,NI,NI,1972-02-02 00:00:00,true,GOIANIA,GO,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01083200000118,NEOENERGIA,NEOE,NEOE3,1996-02-29 00:00:00,true,RIO DE JANEIRO,RJ,SUDESTE,ATIVA,false,false,2023-06-01 17:20:11
01084667000182,NI,NI,NI,1996-03-12 00:00:00,true,PETROLINA,PE,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01088613000195,NI,NI,NI,1996-03-13 00:00:00,true,SANTA ROSA,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
01094742000196,NI,NI,NI,1996-03-05 00:00:00,true,SANTO ANDRE,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01096541000128,NI,NI,NI,1996-03-18 00:00:00,true,JARAGUA DO SUL,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
01099626000160,NI,NI,NI,1996-03-13 00:00:00,true,SAO BERNARDO DO CAMPO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01099923000105,NI,NI,NI,1996-03-07 00:00:00,true,SUZANO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01104937000170,ELETROPAR,LIPR,LIPR3,1996-02-06 00:00:00,true,RIO DE JANEIRO,RJ,SUDESTE,ATIVA,false,false,2023-06-01 17:20:11
01107327000120,BBMLOGISTICA,BBML,BBML3,1996-03-06 00:00:00,true,SAO JOSE DOS PINHAIS,PR,SUL,ATIVA,false,false,2023-06-01 17:20:11
01111752000192,NI,NI,NI,1996-03-20 00:00:00,true,CRICIUMA,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
01119703000104,NI,NI,NI,1996-04-01 00:00:00,true,CHA GRANDE,PE,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01123216000107,NI,NI,NI,1996-03-20 00:00:00,true,SERRA NEGRA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01134656000160,NI,NI,NI,1996-04-11 00:00:00,true,APUI,AM,NORTE,ATIVA,NI,NI,2023-06-01 17:20:11
01144448000141,NI,NI,NI,1996-04-15 00:00:00,true,IRINEOPOLIS,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
01146621000140,NI,NI,NI,1996-04-16 00:00:00,true,MONTE BELO,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01164424000154,NI,NI,NI,1996-04-25 00:00:00,true,BELO HORIZONTE,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01165222000127,NI,NI,NI,1996-04-25 00:00:00,true,CURITIBA,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
01170861000180,NI,NI,NI,1996-04-30 00:00:00,true,SANTO ANTONIO DE JESUS,BA,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01173738000113,NI,NI,NI,1996-05-02 00:00:00,true,BELO HORIZONTE,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01187742000130,NI,NI,NI,1996-05-10 00:00:00,true,GRAVATAI,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
01190502000195,NI,NI,NI,1996-05-10 00:00:00,true,BELO HORIZONTE,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01200201000103,NI,NI,NI,1996-05-17 00:00:00,true,PORTO ALEGRE,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
01206420000191,NI,NI,NI,1996-04-30 00:00:00,true,RIO DE JANEIRO,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01214309000147,NI,NI,NI,1996-05-23 00:00:00,true,NOVA LIMA,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01239158000343,NI,NI,NI,1996-06-10 00:00:00,false,CAMAPUA,MS,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01260997000181,NI,NI,NI,1996-05-02 00:00:00,true,RIBEIRAO DAS NEVES,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01265524000177,NI,NI,NI,1996-06-23 00:00:00,true,SETE LAGOAS,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01268270000140,NI,NI,NI,1996-06-20 00:00:00,true,PALMAS,TO,NORTE,ATIVA,NI,NI,2023-06-01 17:20:11
01279662000377,NI,NI,NI,2019-02-08 00:00:00,false,SABARA,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01296913000160,NI,NI,NI,1996-04-11 00:00:00,true,VITORIA,ES,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01321928000130,NI,NI,NI,1996-07-22 00:00:00,true,GUARAMIRIM,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
01340937002627,NI,NI,NI,2010-09-14 00:00:00,false,IPOJUCA,PE,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01341479000192,NI,NI,NI,1996-07-17 00:00:00,true,VIRADOURO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01346418000118,NI,NI,NI,1996-08-01 00:00:00,true,EUSEBIO,CE,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01378618000152,NI,NI,NI,1996-08-19 00:00:00,true,BOCAIUVA,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01387698000102,NI,NI,NI,1996-08-26 00:00:00,true,GRAVATA,PE,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01417222000177,MRS LOGIST,MRSA,"MRSA3B, MRSA5B, MRSA6B",1996-09-04 00:00:00,true,RIO DE JANEIRO,RJ,SUDESTE,ATIVA,false,false,2023-06-01 17:20:11
01420654000137,NI,NI,NI,1996-09-11 00:00:00,true,RECIFE,PE,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01422473000301,NI,NI,NI,2018-12-19 00:00:00,false,MOGI DAS CRUZES,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01436485000123,NI,NI,NI,1996-09-17 00:00:00,true,CAPITAO LEONIDAS MARQUES,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
01448523000168,NI,NI,NI,1996-09-26 00:00:00,true,OLINDA,PE,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01472486000123,NI,NI,NI,1996-09-27 00:00:00,true,RIO DE JANEIRO,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01475271000166,NI,NI,NI,1996-10-11 00:00:00,true,CURITIBA,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
01481360000115,NI,NI,NI,1996-10-16 00:00:00,true,SAO LUIS,MA,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01490727000167,NI,NI,NI,1996-10-15 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01498406000109,NI,NI,NI,1996-10-18 00:00:00,true,VARZEA PAULISTA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01502343000206,NI,NI,NI,2001-04-03 00:00:00,false,DOVERLANDIA,GO,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01511503000518,NI,NI,NI,2021-04-23 00:00:00,false,PRAIA GRANDE,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01517961000130,NI,NI,NI,1996-11-05 00:00:00,true,CRUZEIRO DO SUL,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
01517999000103,NI,NI,NI,1996-11-01 00:00:00,true,SALVADOR,BA,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01532438003603,NI,NI,NI,2007-06-19 00:00:00,false,PORTO SEGURO,BA,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01543032018577,NI,NI,NI,1980-12-10 00:00:00,false,ARUANA,GO,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01543664000160,NI,NI,NI,1996-11-19 00:00:00,true,PEDRAS DE FOGO,PB,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01543846000130,NI,NI,NI,1996-11-12 00:00:00,true,FRANCA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01545826000107,GAFISA,GFSA,GFSA3,1996-11-13 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,false,false,2023-06-01 17:20:11
01548981000179,INVEST BEMGE,FIGE,"FIGE3, FIGE4",1966-09-27 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,false,false,2023-06-01 17:20:11
01549934000140,NI,NI,NI,1996-11-25 00:00:00,true,BRASILIA,DF,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01563691001508,NI,NI,NI,2016-12-19 00:00:00,false,CAMPO GRANDE,MS,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01576033000147,NI,NI,NI,1996-12-02 00:00:00,true,ARACATUBA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01582376000114,NI,NI,NI,1996-11-27 00:00:00,true,JOINVILLE,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
01597037000101,NI,NI,NI,1996-12-19 00:00:00,true,ARTUR NOGUEIRA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01599101000193,SEQUOIA LOG,SEQL,SEQL3,1996-12-05 00:00:00,true,EMBU DAS ARTES,SP,SUDESTE,ATIVA,false,false,2023-06-01 17:20:11
01602361000170,NI,NI,NI,1996-12-24 00:00:00,true,NATAL,RN,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
01610383000182,NI,NI,NI,1996-12-09 00:00:00,true,SAO CARLOS,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
