cnpj;dsc_porte;dt_carga
01545826000107;Grande;04/06/2023
01548981000179;Grande;04/06/2023
01556141001634;Grande;04/06/2023
01570691000121;Micro;04/06/2023
01581872000153;Micro;04/06/2023
01584162000187;Micro;04/06/2023
01593635000102;Pequena;04/06/2023
01599101000193;Grande;04/06/2023
01599101004261;Grande;04/06/2023
01600756000134;Micro;04/06/2023
01602283000104;Pequena;04/06/2023
01605716000185;Grande;04/06/2023
01606477000188;Micro;04/06/2023
01611487000101;Micro;04/06/2023
01650296000159;Pequena;04/06/2023
01676133000145;Micro;04/06/2023
01693698000483;Micro;04/06/2023
01697173000173;Pequena;04/06/2023
01702007000118;Media;04/06/2023
01702745000165;Micro;04/06/2023
01710665000151;Micro;04/06/2023
01736053000138;Micro;04/06/2023
01743972000139;Pequena;04/06/2023
01752201000108;Pequena;04/06/2023
01770659000190;Micro;04/06/2023
01796888000183;Micro;04/06/2023
01801460000181;Micro;04/06/2023
01831250000136;Micro;04/06/2023
01838723000127;Grande;04/06/2023
01851771000155;Grande;04/06/2023
01853515000105;Micro;04/06/2023
01860712000143;Micro;04/06/2023
01879124000151;Micro;04/06/2023
01895640000170;Micro;04/06/2023
01896779000138;Grande;04/06/2023
01921896000104;Pequena;04/06/2023
01927344000103;Micro;04/06/2023
01936722000115;Pequena;04/06/2023
01938783000111;Grande;04/06/2023
01945247000143;Micro;04/06/2023
01945689000190;Media;04/06/2023
01947991000187;Media;04/06/2023
01952478000184;Micro;04/06/2023
01957772000189;Grande;04/06/2023
01971614000183;Grande;04/06/2023
01971689000326;Pequena;04/06/2023
01974935000131;Pequena;04/06/2023
01976633000100;Micro;04/06/2023
02002427000154;Mei;04/06/2023
02026794000198;Mei;04/06/2023
02031855000105;Micro;04/06/2023
02039070000189;Mei;04/06/2023
02054394000196;Micro;04/06/2023
02059876000139;Pequena;04/06/2023
02062747000108;Grande;04/06/2023
02081240000193;Micro;04/06/2023
02088293000217;Pequena;04/06/2023
02100012000113;Mei;04/06/2023
02100806000187;Pequena;04/06/2023
02106613000133;Media;04/06/2023
02107265000119;Media;04/06/2023
02107717000162;Micro;04/06/2023
02112577000110;Micro;04/06/2023
