cnpj;dsc_nivel_atividade;dt_carga
01503094000184;Baixo;04/06/2023
01506255000193;Alto;04/06/2023
01519328000181;Baixo;04/06/2023
01520745000144;Medio;04/06/2023
01537593000192;Medio;04/06/2023
01545826000107;Alto;04/06/2023
01547853000100;Medio;04/06/2023
01548981000179;Alto;04/06/2023
01549634000160;Medio;04/06/2023
01558778000183;Baixo;04/06/2023
01566103000186;Medio;04/06/2023
01579511000172;Medio;04/06/2023
01599101000193;Alto;04/06/2023
01600522000197;Baixo;04/06/2023
01609895000129;Alto;04/06/2023
01612793000162;Baixo;04/06/2023
01617079000167;Muito baixo;04/06/2023
01617384000159;Medio;04/06/2023
01617611000146;Medio;04/06/2023
01619223000102;Medio;04/06/2023
01630001000182;Medio;04/06/2023
01632455000192;Alto;04/06/2023
01635651000110;Medio;04/06/2023
01648037000193;Baixo;04/06/2023
01649895000152;Baixo;04/06/2023
01654962000127;Alto;04/06/2023
01662231000123;Medio;04/06/2023
01666674000192;Baixo;04/06/2023
01678008000840;Muito baixo;04/06/2023
01709293000143;Medio;04/06/2023
01711735000196;Baixo;04/06/2023
01714502000651;Medio;04/06/2023
01719738000176;Alto;04/06/2023
01728878000100;Medio;04/06/2023
01742739000131;Baixo;04/06/2023
01753776000145;Medio;04/06/2023
01755968000190;Medio;04/06/2023
01756511000109;Medio;04/06/2023
01769776000133;Baixo;04/06/2023
01777029000228;Alto;04/06/2023
01804065000152;Medio;04/06/2023
01814485000110;Baixo;04/06/2023
01815071000709;Alto;04/06/2023
01820705001270;Medio;04/06/2023
01835851000117;Medio;04/06/2023
01838723000127;Alto;04/06/2023
01845760000162;Medio;04/06/2023
01846645000102;Medio;04/06/2023
01851113000163;Alto;04/06/2023
01851771000155;Medio;04/06/2023
01852667000185;Alto;04/06/2023
01858528000169;Baixo;04/06/2023
01863053000107;Alto;04/06/2023
01863532000115;Medio;04/06/2023
01869118000113;Medio;04/06/2023
01884122000150;Medio;04/06/2023
01889713000110;Muito baixo;04/06/2023
01894061000102;Medio;04/06/2023
01896779000138;Alto;04/06/2023
01909354000116;Baixo;04/06/2023
01909430000193;Medio;04/06/2023
01917570000103;Medio;04/06/2023
01921476000128;Alto;04/06/2023
01924077000110;Muito baixo;04/06/2023
01932485000114;Medio;04/06/2023
01936990000137;Medio;04/06/2023
01938783000111;Alto;04/06/2023
01947255000129;Alto;04/06/2023
01957772000189;Alto;04/06/2023
01960522000106;Medio;04/06/2023
01965790000102;Alto;04/06/2023
01967009000139;Medio;04/06/2023
01971614000183;Alto;04/06/2023
01984370000173;Alto;04/06/2023
01992383000194;Alto;04/06/2023
01996201000153;Medio;04/06/2023
01997992000136;Medio;04/06/2023
02004798000256;Medio;04/06/2023
02008467000103;Medio;04/06/2023
02017619002773;Medio;04/06/2023
02020564000111;Medio;04/06/2023
02033071000116;Medio;04/06/2023
02034195000116;Medio;04/06/2023
02034967000110;Alto;04/06/2023
02035680000104;Medio;04/06/2023
02036122000163;Medio;04/06/2023
02037045000166;Alto;04/06/2023
02037613000129;Medio;04/06/2023
02044274000108;Medio;04/06/2023
02059937000168;Medio;04/06/2023
02062747000108;Alto;04/06/2023
02093154000109;Alto;04/06/2023
02093434000109;Baixo;04/06/2023
02098833000162;Medio;04/06/2023
02102430000140;Medio;04/06/2023
02105874000309;Medio;04/06/2023
02115328000189;Medio;04/06/2023
02129139000165;Inativo;04/06/2023
02139524000193;Alto;04/06/2023
02149205000169;Alto;04/06/2023
02156328000127;Medio;04/06/2023
02160783000104;Alto;04/06/2023
02162081000151;Muito baixo;04/06/2023
