cnpj;dsc_nivel_atividade;dt_carga
18860081000165;Alto;04/06/2023
18860891000111;Alto;04/06/2023
18861454000112;Alto;04/06/2023
18865483000152;Baixo;04/06/2023
18870694000183;Baixo;04/06/2023
18871528000100;Medio;04/06/2023
18880621000172;Baixo;04/06/2023
18885972000176;Medio;04/06/2023
18890850000178;Alto;04/06/2023
18895311000121;Medio;04/06/2023
18916659000158;Medio;04/06/2023
18927306000153;Alto;04/06/2023
18932807000128;Medio;04/06/2023
18935460000177;Baixo;04/06/2023
18937294000148;Medio;04/06/2023
18939972000101;Baixo;04/06/2023
18945583000199;Medio;04/06/2023
18957557000180;Alto;04/06/2023
18958823000190;Medio;04/06/2023
18964697000186;Alto;04/06/2023
18966586000109;Medio;04/06/2023
18969761000111;Muito baixo;04/06/2023
18972351000120;Medio;04/06/2023
18985690000140;Alto;04/06/2023
18994345000173;Medio;04/06/2023
18996558000134;Medio;04/06/2023
19001176000196;Medio;04/06/2023
19002067000193;Baixo;04/06/2023
19010804000108;Medio;04/06/2023
19026013000168;Medio;04/06/2023
19037280000130;Medio;04/06/2023
19063294000129;Baixo;04/06/2023
19063698000112;Alto;04/06/2023
19069700000160;Alto;04/06/2023
19077193000107;Baixo;04/06/2023
19092914000158;Medio;04/06/2023
19094744000140;Medio;04/06/2023
19104619000174;Medio;04/06/2023
19111361000133;Baixo;04/06/2023
19123582000202;Medio;04/06/2023
19134936000133;Medio;04/06/2023
19135316000119;Alto;04/06/2023
19145197000185;Medio;04/06/2023
19146993000132;Medio;04/06/2023
19148183000115;Medio;04/06/2023
19154930000128;Alto;04/06/2023
19162950000140;Alto;04/06/2023
19164182000164;Baixo;04/06/2023
19165908000183;Medio;04/06/2023
19167780000197;Baixo;04/06/2023
19170366000137;Alto;04/06/2023
19178336000177;Medio;04/06/2023
19183297000104;Alto;04/06/2023
19183774000123;Medio;04/06/2023
19189067000144;Medio;04/06/2023
19194491000187;Muito baixo;04/06/2023
19195785000123;Alto;04/06/2023
19195971000405;Alto;04/06/2023
19199851000133;Medio;04/06/2023
19208971000230;Baixo;04/06/2023
19223413000163;Alto;04/06/2023
19224239000173;Medio;04/06/2023
19230789000286;Medio;04/06/2023
19234491000163;Medio;04/06/2023
19241267000107;Baixo;04/06/2023
19242048000134;Medio;04/06/2023
19243972000135;Medio;04/06/2023
19249745000117;Medio;04/06/2023
19265786000105;Baixo;04/06/2023
19267911000108;Alto;04/06/2023
19268569000160;Alto;04/06/2023
19273157000119;Medio;04/06/2023
19279412000130;Medio;04/06/2023
19280360000112;Medio;04/06/2023
19280903000100;Medio;04/06/2023
19300500000177;Medio;04/06/2023
19307548000107;Alto;04/06/2023
19307647000199;Medio;04/06/2023
19308809000103;Baixo;04/06/2023
19349674000124;Medio;04/06/2023
19352366000158;Medio;04/06/2023
19359691000142;Muito baixo;04/06/2023
19364445000189;Alto;04/06/2023
19371069000150;Baixo;04/06/2023
19373338000117;Medio;04/06/2023
19378769000176;Alto;04/06/2023
19384498000161;Medio;04/06/2023
19387338000176;Inativo;04/06/2023
19396466000186;Medio;04/06/2023
19399755000139;Inativo;04/06/2023
19400196000130;Medio;04/06/2023
19412947000138;Medio;04/06/2023
19424262000101;Muito baixo;04/06/2023
19436373000138;Medio;04/06/2023
19453989000117;Medio;04/06/2023
19454091000163;Medio;04/06/2023
19458375000209;Baixo;04/06/2023
19462162000170;Alto;04/06/2023
19462368000108;Baixo;04/06/2023
19465056000140;Medio;04/06/2023
19468785000150;Medio;04/06/2023
19469390000171;Medio;04/06/2023
19474996000103;Medio;04/06/2023
19481706000140;Medio;04/06/2023
19487802000104;Medio;04/06/2023
19489397000155;Medio;04/06/2023
19492520000197;Baixo;04/06/2023
19493565002715;Alto;04/06/2023
19500269000165;Baixo;04/06/2023
19504292000128;Muito baixo;04/06/2023
19508962000184;Alto;04/06/2023
19512577000100;Alto;04/06/2023
19516680000129;Medio;04/06/2023
19518172000180;Baixo;04/06/2023
19526748000150;Alto;04/06/2023
19527557000103;Medio;04/06/2023
19528505000151;Muito baixo;04/06/2023
19529225000168;Medio;04/06/2023
19535927000154;Medio;04/06/2023
19536414000168;Alto;04/06/2023
19548400000164;Medio;04/06/2023
19558228000120;Medio;04/06/2023
19561616000160;Baixo;04/06/2023
19570581000125;Medio;04/06/2023
19585866000130;Medio;04/06/2023
19587033000108;Medio;04/06/2023
19587970000163;Baixo;04/06/2023
19595425000119;Baixo;04/06/2023
19605064000144;Medio;04/06/2023
19605608000178;Medio;04/06/2023
19616976000111;Alto;04/06/2023
19621551000109;Baixo;04/06/2023
19644303000175;Medio;04/06/2023
19662278000152;Alto;04/06/2023
19669278000184;Alto;04/06/2023
19670612000110;Medio;04/06/2023
19681144000189;Medio;04/06/2023
19683471000170;Baixo;04/06/2023
19690421000110;Alto;04/06/2023
19691626000110;Alto;04/06/2023
19707109000191;Alto;04/06/2023
19713451000102;Medio;04/06/2023
19727314000119;Alto;04/06/2023
19731924000196;Medio;04/06/2023
19734214000110;Baixo;04/06/2023
19738873000124;Muito baixo;04/06/2023
19740895000129;Medio;04/06/2023
19744470000198;Medio;04/06/2023
19752221000144;Medio;04/06/2023
19756157000170;Medio;04/06/2023
19768162000100;Medio;04/06/2023
19775495000230;Medio;04/06/2023
19778839000183;Medio;04/06/2023
19785846000102;Inativo;04/06/2023
19786180000450;Baixo;04/06/2023
19790554000168;Medio;04/06/2023
19794430000150;Medio;04/06/2023
19796586000170;Medio;04/06/2023
19799037000150;Medio;04/06/2023
19811731000145;Medio;04/06/2023
19834974000107;Baixo;04/06/2023
19838894000111;Medio;04/06/2023
19841364000122;Baixo;04/06/2023
19849285000168;Alto;04/06/2023
19852625000100;Alto;04/06/2023
19853511000184;Alto;04/06/2023
19864969000139;Medio;04/06/2023
19878244000108;Medio;04/06/2023
19888702000181;Medio;04/06/2023
19899720000169;Medio;04/06/2023
19907590000169;Medio;04/06/2023
19917299000171;Medio;04/06/2023
19930676000102;Alto;04/06/2023
19936016000139;Alto;04/06/2023
19946075000198;Medio;04/06/2023
19953667000137;Alto;04/06/2023
19965383000160;Alto;04/06/2023
19966223000136;Medio;04/06/2023
19968644000104;Medio;04/06/2023
19976610000153;Medio;04/06/2023
19982499000108;Medio;04/06/2023
19982627000113;Medio;04/06/2023
19985424000180;Medio;04/06/2023
19993566000190;Medio;04/06/2023
19995481000140;Medio;04/06/2023
20013481000187;Alto;04/06/2023
20014139000100;Inativo;04/06/2023
20019950000337;Baixo;04/06/2023
20030514000105;Baixo;04/06/2023
20031358000199;Medio;04/06/2023
20033155000131;Alto;04/06/2023
20036863000126;Medio;04/06/2023
20050096000100;Medio;04/06/2023
20055267000193;Inativo;04/06/2023
20055871000209;Medio;04/06/2023
20061517000106;Medio;04/06/2023
20065472000130;Medio;04/06/2023
20068966000178;Alto;04/06/2023
20087307000189;Medio;04/06/2023
20094394000100;Alto;04/06/2023
20102891000102;Alto;04/06/2023
20105711000138;Medio;04/06/2023
20111202000118;Medio;04/06/2023
20115334000118;Medio;04/06/2023
20119526000100;Alto;04/06/2023
20123382000158;Medio;04/06/2023
20124924000107;Medio;04/06/2023
20130944000190;Medio;04/06/2023
20133956000179;Alto;04/06/2023
20138097000100;Medio;04/06/2023
20146808000199;Baixo;04/06/2023
20148732000130;Alto;04/06/2023
20148924000147;Alto;04/06/2023
20151909000158;Medio;04/06/2023
20154601000166;Alto;04/06/2023
20154884000146;Medio;04/06/2023
20158249000137;Medio;04/06/2023
20165774000180;Alto;04/06/2023
20165982000340;Medio;04/06/2023
20169827003237;Alto;04/06/2023
20173792000103;Alto;04/06/2023
20175420000116;Medio;04/06/2023
20175800000150;Medio;04/06/2023
20176308000108;Alto;04/06/2023
20179714000116;Medio;04/06/2023
20188780000152;Alto;04/06/2023
20188825000199;Medio;04/06/2023
20190703000137;Alto;04/06/2023
20204390000129;Medio;04/06/2023
20213423000105;Muito baixo;04/06/2023
20226449000180;Medio;04/06/2023
20242298000153;Medio;04/06/2023
20242735000139;Medio;04/06/2023
20245184000167;Medio;04/06/2023
20247322000147;Medio;04/06/2023
20258278000170;Alto;04/06/2023
20258325000186;Baixo;04/06/2023
20264283000196;Medio;04/06/2023
20267695000180;Medio;04/06/2023
20278589000100;Medio;04/06/2023
20278874000112;Medio;04/06/2023
20283323000147;Medio;04/06/2023
20283345000107;Alto;04/06/2023
20292897000181;Medio;04/06/2023
20298417000190;Medio;04/06/2023
20304752000153;Medio;04/06/2023
20306491000100;Medio;04/06/2023
20326372000110;Medio;04/06/2023
20328536000148;Alto;04/06/2023
20329524000138;Medio;04/06/2023
20329771000134;Baixo;04/06/2023
20335389000133;Medio;04/06/2023
20351930000105;Medio;04/06/2023
20356714000144;Baixo;04/06/2023
20361750000104;Alto;04/06/2023
20362586000141;Inativo;04/06/2023
20365233000103;Alto;04/06/2023
20371604000151;Medio;04/06/2023
20373280000190;Medio;04/06/2023
20381367000100;Alto;04/06/2023
20386507000132;Medio;04/06/2023
20393143000118;Medio;04/06/2023
20393686000135;Muito baixo;04/06/2023
20394840000193;Alto;04/06/2023
20405960000149;Medio;04/06/2023
20420172000121;Medio;04/06/2023
20423429000107;Medio;04/06/2023
20426893000149;Alto;04/06/2023
20428386000144;Medio;04/06/2023
20431395000275;Medio;04/06/2023
20437070000119;Medio;04/06/2023
20443898000180;Baixo;04/06/2023
20449181000145;Medio;04/06/2023
20449500000112;Alto;04/06/2023
20453982000184;Inativo;04/06/2023
20487631000194;Medio;04/06/2023
20497264000100;Alto;04/06/2023
20504308000181;Medio;04/06/2023
20506164000100;Baixo;04/06/2023
20512383000194;Alto;04/06/2023
20521887000170;Alto;04/06/2023
20523639000169;Medio;04/06/2023
20529320000140;Medio;04/06/2023
20529361000137;Medio;04/06/2023
20536773000102;Medio;04/06/2023
20536871000131;Baixo;04/06/2023
20539017000129;Inativo;04/06/2023
20539197000149;Medio;04/06/2023
20544353000160;Alto;04/06/2023
20589216000141;Medio;04/06/2023
20593572000139;Baixo;04/06/2023
20597195000106;Inativo;04/06/2023
20602354000113;Baixo;04/06/2023
20606712000166;Medio;04/06/2023
20612846000190;Baixo;04/06/2023
20626357000197;Medio;04/06/2023
20628607000128;Alto;04/06/2023
20630535000153;Alto;04/06/2023
20652898000190;Medio;04/06/2023
20655836000131;Medio;04/06/2023
20657469001004;Alto;04/06/2023
20662395000103;Medio;04/06/2023
20666556000129;Medio;04/06/2023
20671222000143;Medio;04/06/2023
20671571000165;Alto;04/06/2023
20673190000115;Alto;04/06/2023
20688064000134;Medio;04/06/2023
20692632000170;Medio;04/06/2023
20702523000197;Medio;04/06/2023
20716264000153;Alto;04/06/2023
20720165000145;Alto;04/06/2023
20736915000177;Baixo;04/06/2023
20742859000183;Medio;04/06/2023
20750023000120;Medio;04/06/2023
20757473000145;Medio;04/06/2023
20759549000171;Medio;04/06/2023
20759986000195;Medio;04/06/2023
20765460000118;Medio;04/06/2023
20772476000158;Medio;04/06/2023
20773829000134;Muito baixo;04/06/2023
20779590000100;Medio;04/06/2023
20779767000178;Medio;04/06/2023
20787025000194;Medio;04/06/2023
20789021000145;Medio;04/06/2023
20791139000108;Medio;04/06/2023
20798155000122;Medio;04/06/2023
20808156000100;Alto;04/06/2023
20810398000139;Muito baixo;04/06/2023
20811720000144;Medio;04/06/2023
20812704000176;Baixo;04/06/2023
20816511000193;Medio;04/06/2023
20823421000120;Medio;04/06/2023
20829355000103;Medio;04/06/2023
20836584000147;Medio;04/06/2023
20844600000143;Alto;04/06/2023
20848631000172;Medio;04/06/2023
20854659000112;Medio;04/06/2023
20862621000191;Medio;04/06/2023
20863234000170;Medio;04/06/2023
20863323000116;Medio;04/06/2023
20871792000187;Alto;04/06/2023
20874325000100;Medio;04/06/2023
20879786000176;Alto;04/06/2023
20883110000156;Baixo;04/06/2023
20885566000155;Inativo;04/06/2023
20891011000116;Medio;04/06/2023
20896474000170;Medio;04/06/2023
20915815000108;Medio;04/06/2023
20928141000186;Medio;04/06/2023
20929599000150;Alto;04/06/2023
20934459000170;Alto;04/06/2023
20940829000181;Alto;04/06/2023
20941110000165;Medio;04/06/2023
20956508000175;Medio;04/06/2023
20957000000191;Medio;04/06/2023
20957763000132;Alto;04/06/2023
20963689000167;Medio;04/06/2023
20972106000164;Medio;04/06/2023
20973195000163;Medio;04/06/2023
20973604000121;Inativo;04/06/2023
20982880000156;Alto;04/06/2023
20985267000192;Medio;04/06/2023
20994487000182;Medio;04/06/2023
20998770000182;Alto;04/06/2023
21004275000173;Alto;04/06/2023
21012962000130;Baixo;04/06/2023
21014632000184;Alto;04/06/2023
21017373000145;Baixo;04/06/2023
21017382000136;Baixo;04/06/2023
21023834000192;Alto;04/06/2023
21035908000100;Medio;04/06/2023
21042345000188;Alto;04/06/2023
21044406000146;Medio;04/06/2023
21046018000102;Baixo;04/06/2023
21046062000104;Medio;04/06/2023
21048617000157;Baixo;04/06/2023
21059302000105;Medio;04/06/2023
21060545000163;Alto;04/06/2023
21071617000178;Alto;04/06/2023
21091155000150;Medio;04/06/2023
21095380000165;Alto;04/06/2023
21097565000109;Baixo;04/06/2023
21098353000227;Medio;04/06/2023
21099749000108;Medio;04/06/2023
21100044000163;Alto;04/06/2023
21109774000125;Medio;04/06/2023
21112631000172;Medio;04/06/2023
21114479000167;Alto;04/06/2023
21119579000186;Medio;04/06/2023
21120024000154;Medio;04/06/2023
21121724000163;Medio;04/06/2023
21122138000133;Medio;04/06/2023
21129307000167;Alto;04/06/2023
21133302000108;Alto;04/06/2023
21137205000193;Baixo;04/06/2023
21137846000148;Baixo;04/06/2023
21139004000125;Baixo;04/06/2023
21143742000146;Alto;04/06/2023
21148694000189;Medio;04/06/2023
21149051000150;Medio;04/06/2023
21152918000126;Medio;04/06/2023
21156819000112;Medio;04/06/2023
21156836000150;Alto;04/06/2023
21162809000190;Medio;04/06/2023
21163281000173;Medio;04/06/2023
21169150000101;Alto;04/06/2023
21177296000190;Baixo;04/06/2023
21183641000107;Baixo;04/06/2023
21190553000124;Medio;04/06/2023
21190613000109;Medio;04/06/2023
21190810000128;Medio;04/06/2023
21212425000134;Medio;04/06/2023
21222805000150;Alto;04/06/2023
21223788000507;Alto;04/06/2023
21230332000132;Alto;04/06/2023
21230384000109;Medio;04/06/2023
21233299000102;Medio;04/06/2023
21240146000184;Baixo;04/06/2023
21246139000190;Medio;04/06/2023
21255567000189;Alto;04/06/2023
21268993000157;Alto;04/06/2023
21284387000125;Medio;04/06/2023
21288675000158;Medio;04/06/2023
21294624000139;Medio;04/06/2023
21295773000112;Muito baixo;04/06/2023
21304717000105;Baixo;04/06/2023
21314559000166;Alto;04/06/2023
21315308000104;Medio;04/06/2023
21321518000105;Medio;04/06/2023
21326872000114;Medio;04/06/2023
21336523000183;Medio;04/06/2023
21347386000182;Baixo;04/06/2023
21354790000183;Alto;04/06/2023
21365209000129;Medio;04/06/2023
21369606000179;Baixo;04/06/2023
21376481000104;Alto;04/06/2023
21377596000113;Medio;04/06/2023
21384402000107;Alto;04/06/2023
21388815000160;Alto;04/06/2023
21395275000222;Medio;04/06/2023
21397783000169;Baixo;04/06/2023
21397933000134;Baixo;04/06/2023
21399818000107;Medio;04/06/2023
21403542000185;Medio;04/06/2023
21403591000118;Alto;04/06/2023
21410688000158;Baixo;04/06/2023
21414656000120;Medio;04/06/2023
21425248000174;Muito baixo;04/06/2023
21433173000173;Muito baixo;04/06/2023
21435609000163;Medio;04/06/2023
21440762000189;Medio;04/06/2023
21440908000196;Alto;04/06/2023
21445296000124;Alto;04/06/2023
21445810000121;Baixo;04/06/2023
21446217000108;Medio;04/06/2023
21447265000102;Medio;04/06/2023
21448148000163;Medio;04/06/2023
21451529000100;Baixo;04/06/2023
21455417000208;Medio;04/06/2023
21455770000107;Medio;04/06/2023
21460529000168;Baixo;04/06/2023
21462652000118;Alto;04/06/2023
21463703000126;Alto;04/06/2023
21466969000122;Medio;04/06/2023
21478156000152;Medio;04/06/2023
21478652000106;Medio;04/06/2023
21480776000126;Inativo;04/06/2023
21483140000138;Alto;04/06/2023
21483514000115;Baixo;04/06/2023
21483836000164;Medio;04/06/2023
21483889000185;Medio;04/06/2023
21493141000163;Medio;04/06/2023
21505018000115;Baixo;04/06/2023
21506164000165;Baixo;04/06/2023
21506499000183;Baixo;04/06/2023
21528627000190;Muito baixo;04/06/2023
21537550000114;Alto;04/06/2023
21539610000138;Alto;04/06/2023
21542540000177;Medio;04/06/2023
21549201000112;Medio;04/06/2023
21549649000136;Baixo;04/06/2023
21550080000129;Muito baixo;04/06/2023
21558065000127;Medio;04/06/2023
21558453000108;Medio;04/06/2023
21560297000110;Alto;04/06/2023
21560787000116;Alto;04/06/2023
21569426000130;Medio;04/06/2023
21570943000120;Alto;04/06/2023
21572165000108;Medio;04/06/2023
21573945000172;Alto;04/06/2023
21575721000108;Medio;04/06/2023
21577164000156;Muito baixo;04/06/2023
21577256000136;Muito baixo;04/06/2023
21579829000160;Alto;04/06/2023
21586049000148;Medio;04/06/2023
21588762000120;Medio;04/06/2023
21590867000114;Medio;04/06/2023
21601093000180;Alto;04/06/2023
21605674000190;Alto;04/06/2023
21620192000109;Medio;04/06/2023
21622799000128;Inativo;04/06/2023
21632247000109;Alto;04/06/2023
21633113000102;Baixo;04/06/2023
21636171000181;Medio;04/06/2023
21648640000182;Baixo;04/06/2023
21655813000190;Alto;04/06/2023
21665730000181;Medio;04/06/2023
21670660000150;Alto;04/06/2023
21676188000162;Alto;04/06/2023
21682898000103;Medio;04/06/2023
21684768000100;Medio;04/06/2023
21694032000104;Alto;04/06/2023
21701603000190;Baixo;04/06/2023
21732552000164;Medio;04/06/2023
21736463000196;Medio;04/06/2023
21743142000119;Alto;04/06/2023
21743631000170;Baixo;04/06/2023
21753370000170;Medio;04/06/2023
21757438000199;Medio;04/06/2023
21765218000107;Alto;04/06/2023
21771900000102;Alto;04/06/2023
21775320000193;Alto;04/06/2023
21776847000132;Medio;04/06/2023
21784537000160;Inativo;04/06/2023
21798302000127;Medio;04/06/2023
21799285000142;Alto;04/06/2023
21802044000105;Medio;04/06/2023
21803703000128;Baixo;04/06/2023
21810953000195;Alto;04/06/2023
21815912000191;Alto;04/06/2023
21819769000106;Medio;04/06/2023
21819879000178;Medio;04/06/2023
21821740000240;Alto;04/06/2023
21825998000133;Alto;04/06/2023
21830378000192;Medio;04/06/2023
21832573000151;Medio;04/06/2023
21833403000191;Inativo;04/06/2023
21834419000119;Medio;04/06/2023
21838665000149;Medio;04/06/2023
21841064000195;Alto;04/06/2023
21843493000100;Medio;04/06/2023
21871351000148;Baixo;04/06/2023
21879004000161;Alto;04/06/2023
21879049000136;Baixo;04/06/2023
21887111000131;Alto;04/06/2023
21896518000125;Medio;04/06/2023
21899347000198;Medio;04/06/2023
21904618000156;Medio;04/06/2023
21907690000137;Baixo;04/06/2023
21908597000147;Medio;04/06/2023
21911818000136;Inativo;04/06/2023
21914904000100;Medio;04/06/2023
21919401000110;Alto;04/06/2023
21924705000175;Medio;04/06/2023
21934125000169;Muito baixo;04/06/2023
21936342000198;Medio;04/06/2023
21940504000161;Medio;04/06/2023
21952549000156;Medio;04/06/2023
21958493000147;Baixo;04/06/2023
21968584000163;Alto;04/06/2023
21970209000158;Alto;04/06/2023
21973444000183;Medio;04/06/2023
21980121000117;Medio;04/06/2023
22011034000114;Medio;04/06/2023
22012435000199;Medio;04/06/2023
22017579000138;Medio;04/06/2023
22017962000196;Medio;04/06/2023
22026101000174;Alto;04/06/2023
22030429000164;Alto;04/06/2023
22031307000192;Alto;04/06/2023
22032633000114;Baixo;04/06/2023
22051942000131;Baixo;04/06/2023
22053347000135;Medio;04/06/2023
22056421000177;Baixo;04/06/2023
22056619000150;Alto;04/06/2023
22060890000160;Alto;04/06/2023
22063144000120;Alto;04/06/2023
22069520001165;Alto;04/06/2023
22077957000179;Medio;04/06/2023
22087228000101;Baixo;04/06/2023
22092412000131;Baixo;04/06/2023
22093885000153;Medio;04/06/2023
22103862000182;Baixo;04/06/2023
22104617000190;Medio;04/06/2023
22107565000105;Medio;04/06/2023
22111295000106;Medio;04/06/2023
22111339000106;Muito baixo;04/06/2023
22124955000193;Baixo;04/06/2023
22129976000100;Medio;04/06/2023
22133328000119;Medio;04/06/2023
22136082000139;Baixo;04/06/2023
22137318000151;Medio;04/06/2023
22143634000136;Medio;04/06/2023
22149146000136;Alto;04/06/2023
22151675000174;Medio;04/06/2023
22168111000144;Medio;04/06/2023
22168847000112;Alto;04/06/2023
22172110000173;Medio;04/06/2023
22185279000168;Medio;04/06/2023
22221217000164;Medio;04/06/2023
22229845000196;Medio;04/06/2023
22230181000185;Medio;04/06/2023
22244288000182;Inativo;04/06/2023
22252093000184;Alto;04/06/2023
22255711000140;Alto;04/06/2023
22258042000160;Medio;04/06/2023
22260328000180;Medio;04/06/2023
22263688000135;Alto;04/06/2023
22266175000188;Alto;04/06/2023
22270069000178;Muito baixo;04/06/2023
22277955000123;Baixo;04/06/2023
22282093000127;Medio;04/06/2023
22294962000133;Medio;04/06/2023
22297387000122;Medio;04/06/2023
22299310000191;Inativo;04/06/2023
22303211000136;Medio;04/06/2023
22319541000110;Medio;04/06/2023
22334752000121;Alto;04/06/2023
22382443000127;Medio;04/06/2023
22394338000108;Medio;04/06/2023
22394522000239;Alto;04/06/2023
22401314000139;Alto;04/06/2023
22405657000171;Medio;04/06/2023
22411361000163;Baixo;04/06/2023
22423278000104;Medio;04/06/2023
22426879000170;Muito baixo;04/06/2023
22433021000133;Alto;04/06/2023
22435095000109;Medio;04/06/2023
22436957000118;Medio;04/06/2023
22437137000140;Medio;04/06/2023
22439328000141;Medio;04/06/2023
22440788004420;Medio;04/06/2023
22451345000285;Baixo;04/06/2023
22457706000110;Baixo;04/06/2023
22459797000122;Baixo;04/06/2023
22460898000113;Medio;04/06/2023
22475464001240;Medio;04/06/2023
22479837000106;Medio;04/06/2023
22488635000112;Medio;04/06/2023
22489665000143;Baixo;04/06/2023
22517316000198;Alto;04/06/2023
22518255000183;Medio;04/06/2023
22529865000182;Baixo;04/06/2023
22538171000101;Medio;04/06/2023
22545838000101;Baixo;04/06/2023
22548005000196;Alto;04/06/2023
22549412000118;Inativo;04/06/2023
22556854000191;Alto;04/06/2023
22559985000122;Baixo;04/06/2023
22561251000188;Medio;04/06/2023
22572172000172;Medio;04/06/2023
22578542000189;Medio;04/06/2023
22588451000124;Medio;04/06/2023
22589970000107;Medio;04/06/2023
22602222000117;Alto;04/06/2023
22617273000112;Baixo;04/06/2023
22629249000101;Medio;04/06/2023
22631051000154;Baixo;04/06/2023
22642235000110;Alto;04/06/2023
22649724000101;Alto;04/06/2023
22649736000128;Alto;04/06/2023
22650892000109;Medio;04/06/2023
22652124000194;Alto;04/06/2023
22652228000107;Medio;04/06/2023
22656735000100;Medio;04/06/2023
22656894000105;Inativo;04/06/2023
22658571000150;Alto;04/06/2023
22669915006320;Medio;04/06/2023
22669915013105;Baixo;04/06/2023
22673384000146;Alto;04/06/2023
22677520000176;Alto;04/06/2023
22679886000184;Baixo;04/06/2023
22680375000182;Medio;04/06/2023
22682382000113;Medio;04/06/2023
22684397000110;Alto;04/06/2023
22686526000100;Medio;04/06/2023
22689491000162;Alto;04/06/2023
22691484000103;Medio;04/06/2023
22692548000182;Baixo;04/06/2023
22702056000120;Medio;04/06/2023
22703607000170;Medio;04/06/2023
22712369000160;Alto;04/06/2023
22714781000119;Alto;04/06/2023
22716053000146;Medio;04/06/2023
22724783000199;Alto;04/06/2023
22726784000172;Medio;04/06/2023
22727852000118;Medio;04/06/2023
22728151000101;Alto;04/06/2023
22732714000127;Medio;04/06/2023
22733811000134;Medio;04/06/2023
22736621000170;Alto;04/06/2023
22739017000106;Medio;04/06/2023
22740790000184;Alto;04/06/2023
22744286000152;Medio;04/06/2023
22751817000134;Baixo;04/06/2023
22754128000183;Alto;04/06/2023
22759978000174;Alto;04/06/2023
22760837000171;Baixo;04/06/2023
22762952000185;Medio;04/06/2023
22768106000172;Medio;04/06/2023
22772137000105;Alto;04/06/2023
22776762000117;Medio;04/06/2023
22781848000138;Medio;04/06/2023
22781982000139;Medio;04/06/2023
22784815000141;Baixo;04/06/2023
22796541000100;Medio;04/06/2023
22804349000119;Medio;04/06/2023
22806880000120;Medio;04/06/2023
22808515000155;Medio;04/06/2023
22812099000169;Alto;04/06/2023
22820964000119;Baixo;04/06/2023
22823682000175;Medio;04/06/2023
22825518000105;Muito baixo;04/06/2023
22827028000130;Alto;04/06/2023
22827159000117;Medio;04/06/2023
22832305000100;Alto;04/06/2023
22833639000190;Medio;04/06/2023
22834645000162;Medio;04/06/2023
22841238000182;Medio;04/06/2023
22841794000159;Medio;04/06/2023
22844040000152;Medio;04/06/2023
22846104000154;Medio;04/06/2023
22864238000106;Medio;04/06/2023
22866334000185;Alto;04/06/2023
22866593000106;Medio;04/06/2023
22869727000142;Medio;04/06/2023
22873858000101;Medio;04/06/2023
22875097000119;Medio;04/06/2023
22882095000157;Alto;04/06/2023
22885549000143;Alto;04/06/2023
22890460000175;Medio;04/06/2023
22906836000192;Medio;04/06/2023
22908663000141;Alto;04/06/2023
22909492000175;Medio;04/06/2023
22912973000130;Alto;04/06/2023
22913508000113;Alto;04/06/2023
22915032000150;Medio;04/06/2023
22918975000136;Medio;04/06/2023
22923535000177;Medio;04/06/2023
22928288000100;Medio;04/06/2023
22929508000101;Medio;04/06/2023
22945818000110;Medio;04/06/2023
22946026000160;Alto;04/06/2023
22957079000186;Baixo;04/06/2023
22966153000120;Medio;04/06/2023
22967596000136;Medio;04/06/2023
22970169000107;Baixo;04/06/2023
22970863000124;Medio;04/06/2023
22983409000108;Inativo;04/06/2023
22988817000152;Baixo;04/06/2023
23008064000134;Medio;04/06/2023
23010445000158;Baixo;04/06/2023
23016206000105;Alto;04/06/2023
23017378000101;Medio;04/06/2023
23020255000111;Baixo;04/06/2023
23023981000198;Medio;04/06/2023
23028901000197;Medio;04/06/2023
23032509000111;Medio;04/06/2023
23034431000174;Medio;04/06/2023
23034646000195;Medio;04/06/2023
23034875000100;Alto;04/06/2023
23034896000125;Medio;04/06/2023
23044328000105;Medio;04/06/2023
23049526000161;Alto;04/06/2023
23050009000102;Medio;04/06/2023
23054978000131;Alto;04/06/2023
23063103000104;Medio;04/06/2023
23065338000127;Medio;04/06/2023
23072398000177;Medio;04/06/2023
23091109000187;Alto;04/06/2023
23101503000159;Medio;04/06/2023
23102656000110;Medio;04/06/2023
23105738000119;Baixo;04/06/2023
23109433000185;Alto;04/06/2023
23141244000190;Alto;04/06/2023
23150362000407;Alto;04/06/2023
23169309000105;Medio;04/06/2023
23178894000100;Alto;04/06/2023
23183732000160;Alto;04/06/2023
23183992000135;Medio;04/06/2023
23194915000180;Alto;04/06/2023
23194948000120;Baixo;04/06/2023
23200510000108;Baixo;04/06/2023
23203264000148;Alto;04/06/2023
23211945000158;Medio;04/06/2023
23216314000121;Baixo;04/06/2023
23216364000109;Baixo;04/06/2023
23222365000166;Medio;04/06/2023
23226065000155;Medio;04/06/2023
23229662000133;Medio;04/06/2023
23235174000139;Medio;04/06/2023
23238864000141;Medio;04/06/2023
23250448000169;Alto;04/06/2023
23252777000149;Medio;04/06/2023
23253159000113;Alto;04/06/2023
23257084000149;Medio;04/06/2023
23265881000178;Alto;04/06/2023
23279083000103;Baixo;04/06/2023
23304466000186;Medio;04/06/2023
23304573000104;Baixo;04/06/2023
23313395000188;Medio;04/06/2023
23314452000143;Alto;04/06/2023
23319450000147;Baixo;04/06/2023
23326944000159;Medio;04/06/2023
23340024000195;Medio;04/06/2023
23342263000184;Alto;04/06/2023
23352494000179;Medio;04/06/2023
23354481000139;Medio;04/06/2023
23358791000121;Baixo;04/06/2023
