cnpj;dsc_saude_tributaria;dt_carga
01835593000179;Cinza;04/06/2023
01838723000127;Vermelho;04/06/2023
01838723027165;Cinza;04/06/2023
01841144000133;Verde;04/06/2023
01843304000183;Verde;04/06/2023
01851771000155;Cinza;04/06/2023
01864414000121;Cinza;04/06/2023
01870274000102;Cinza;04/06/2023
01877929000166;Cinza;04/06/2023
01879299000169;Cinza;04/06/2023
01884995000163;Verde;04/06/2023
01892052000182;Cinza;04/06/2023
01892724000150;Cinza;04/06/2023
01893375000190;Cinza;04/06/2023
01896779000138;Amarela;04/06/2023
01907012000167;Cinza;04/06/2023
01925182000174;Amarela;04/06/2023
01929666000191;Cinza;04/06/2023
01938783000111;Verde;04/06/2023
01941170000133;Cinza;04/06/2023
01943757000181;Cinza;04/06/2023
01955645000140;Cinza;04/06/2023
01957772000189;Cinza;04/06/2023
01968272000142;Cinza;04/06/2023
01969792000170;Cinza;04/06/2023
01971614000183;Cinza;04/06/2023
01980915000173;Cinza;04/06/2023
01985856000126;Cinza;04/06/2023
02008912000135;Cinza;04/06/2023
02022383000124;Cinza;04/06/2023
02032075000180;Cinza;04/06/2023
02034186000125;Cinza;04/06/2023
02061045000100;Cinza;04/06/2023
02062747000108;Cinza;04/06/2023
02068042000190;Cinza;04/06/2023
02069157000107;Cinza;04/06/2023
02081131000680;Cinza;04/06/2023
02084128000297;Cinza;04/06/2023
02116188000163;Vermelho;04/06/2023
02119972000125;Verde;04/06/2023
02129213000143;Cinza;04/06/2023
02134105000169;Cinza;04/06/2023
02134315000157;Cinza;04/06/2023
02135214000109;Cinza;04/06/2023
02149154000175;Cinza;04/06/2023
02149205000169;Cinza;04/06/2023
02156195000199;Verde;04/06/2023
02162057000112;Vermelho;04/06/2023
02162616000194;Cinza;04/06/2023
02175547000153;Cinza;04/06/2023
02193750000152;Verde;04/06/2023
02197396000134;Cinza;04/06/2023
02216615000185;Verde;04/06/2023
02217319000107;Cinza;04/06/2023
02241448000122;Cinza;04/06/2023
02242286000147;Vermelho;04/06/2023
02250783003374;Cinza;04/06/2023
02255187000108;Verde;04/06/2023
02255929000278;Cinza;04/06/2023
02266299000156;Cinza;04/06/2023
02271791000110;Cinza;04/06/2023
02274154000440;Cinza;04/06/2023
02291077000193;Cinza;04/06/2023
02291201000110;Cinza;04/06/2023
02302101000142;Vermelho;04/06/2023
02302400000187;Cinza;04/06/2023
02307942000142;Verde;04/06/2023
02313091000906;Cinza;04/06/2023
02315995000105;Verde;04/06/2023
02319908000198;Cinza;04/06/2023
02320561000101;Cinza;04/06/2023
02328280000197;Amarela;04/06/2023
02334334000208;Cinza;04/06/2023
02351144000118;Vermelho;04/06/2023
02351877000152;Amarela;04/06/2023
02354333000144;Verde;04/06/2023
02357251000153;Cinza;04/06/2023
02357931000177;Cinza;04/06/2023
02365069000144;Verde;04/06/2023
02373016000175;Cinza;04/06/2023
02384203000154;Cinza;04/06/2023
02387241000160;Vermelho;04/06/2023
02402578000795;Verde;04/06/2023
02409363000100;Cinza;04/06/2023
02411415000183;Cinza;04/06/2023
02412359000100;Verde;04/06/2023
02415052000154;Cinza;04/06/2023
02415583206942;Cinza;04/06/2023
02421421000111;Verde;04/06/2023
02429144000193;Vermelho;04/06/2023
02431962000120;Cinza;04/06/2023
02434981000100;Vermelho;04/06/2023
02454193000186;Cinza;04/06/2023
02461488000180;Cinza;04/06/2023
02470454000151;Cinza;04/06/2023
02473472000197;Cinza;04/06/2023
02474103000119;Cinza;04/06/2023
02475083000443;Ni;04/06/2023
02477302000180;Verde;04/06/2023
02483615000141;Verde;04/06/2023
02486069001174;Ni;04/06/2023
02490163000125;Verde;04/06/2023
02495310000230;Cinza;04/06/2023
02502892000154;Cinza;04/06/2023
02527116000290;Cinza;04/06/2023
02528852000777;Cinza;04/06/2023
02549268000102;Cinza;04/06/2023
02549426000124;Cinza;04/06/2023
02556250000138;Cinza;04/06/2023
02558157000162;Amarela;04/06/2023
02559802000161;Vermelho;04/06/2023
02561004000174;Cinza;04/06/2023
02564017000105;Cinza;04/06/2023
02578177000103;Verde;04/06/2023
02589145000103;Vermelho;04/06/2023
02593882000171;Cinza;04/06/2023
02600417000110;Cinza;04/06/2023
02601501000230;Cinza;04/06/2023
02604860000160;Cinza;04/06/2023
02610914000108;Cinza;04/06/2023
02611831000125;Cinza;04/06/2023
02619077000170;Cinza;04/06/2023
02621132000166;Vermelho;04/06/2023
02622162000197;Verde;04/06/2023
02626271000182;Cinza;04/06/2023
02635522000195;Cinza;04/06/2023
02643816000169;Verde;04/06/2023
02655190000100;Cinza;04/06/2023
02656847000154;Verde;04/06/2023
02664042000152;Verde;04/06/2023
02665263000498;Cinza;04/06/2023
02684425000192;Cinza;04/06/2023
02686687000196;Cinza;04/06/2023
02695126000153;Cinza;04/06/2023
02695525000114;Cinza;04/06/2023
02700264000183;Verde;04/06/2023
02718003000190;Cinza;04/06/2023
02718544000119;Vermelho;04/06/2023
02732701000140;Cinza;04/06/2023
02735707000171;Cinza;04/06/2023
02743600000175;Verde;04/06/2023
02747980000116;Cinza;04/06/2023
02759582000110;Cinza;04/06/2023
02762121000104;Vermelho;04/06/2023
02762124000130;Cinza;04/06/2023
02762285000123;Cinza;04/06/2023
02766038005679;Cinza;04/06/2023
02769771000173;Cinza;04/06/2023
02771211000153;Cinza;04/06/2023
02775007000372;Cinza;04/06/2023
02776541000131;Verde;04/06/2023
02789056000283;Ni;04/06/2023
02791970000188;Cinza;04/06/2023
02796775000140;Cinza;04/06/2023
02800026000140;Cinza;04/06/2023
02811486000173;Cinza;04/06/2023
02821850000186;Cinza;04/06/2023
02826072000118;Vermelho;04/06/2023
02828742000135;Cinza;04/06/2023
02832714000191;Cinza;04/06/2023
02846056000197;Cinza;04/06/2023
02849595000180;Cinza;04/06/2023
02860694000162;Vermelho;04/06/2023
02887100010412;Cinza;04/06/2023
02899517000190;Cinza;04/06/2023
02911128000132;Cinza;04/06/2023
02912570000183;Cinza;04/06/2023
02916265000160;Cinza;04/06/2023
02918044000120;Cinza;04/06/2023
02932074000191;Vermelho;04/06/2023
