cod_acao_rdz;cod_acao;razao_social;dsc_setor_economico;dsc_subsetor;dsc_segmento;segmento_b3;cnpj;dt_carga
LEVE;LEVE3;METAL LEVE;CONSUMO CÍCLICO;AUTOMÓVEIS E MOTOCICLETAS;AUTOMÓVEIS E MOTOCICLETAS;NM;60476884000187;04/06/2023
LIGH;NI;LIGHT;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;99999999999999;04/06/2023
LIGT;LIGT3;LIGHT S/A;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NM;03378521000175;04/06/2023
LINX;LINX3;LINX;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;06948969000175;04/06/2023
LIPR;LIPR3;ELETROPAR;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;01104937000170;04/06/2023
LJQQ;LJQQ3;QUERO-QUERO;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;NM;96418264021802;04/06/2023
LLBI;LLBI3, LLBI4;LE BISCUIT;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;NI;16233389000155;04/06/2023
LLIS;LLIS3;LE LIS BLANC;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;NM;49669856000143;04/06/2023
LMED;LMED3;LIFEMED;SAÚDE;EQUIPAMENTOS;EQUIPAMENTOS;MA;02357251000153;04/06/2023
LOGG;LOGG3;LOG COM PROP;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;NM;09041168000110;04/06/2023
LOGN;LOGN3;LOG-IN;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE HIDROVIÁRIO;NM;42278291000124;04/06/2023
LPSB;LPSB3;LOPES BRASIL;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;INTERMEDIAÇÃO IMOBILIÁRIA;NM;08078847000109;04/06/2023
LREN;LREN3;LOJAS RENNER;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;NM;92754738000162;04/06/2023
LTEL;LTEL3B;LITEL;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;MB;00743065000127;04/06/2023
LTLA;LTLA3B;LITELA;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;MB;05495546000184;04/06/2023
LUPA;LUPA3;LUPATECH;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EQUIPAMENTOS E SERVIÇOS;NM;89463822000112;04/06/2023
LUXM;LUXM3, LUXM4;TREVISA;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE HIDROVIÁRIO;NI;92660570000126;04/06/2023
LVTC;LVTC3;WDC NETWORKS;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;05917486000140;04/06/2023
LWSA;LWSA3;LOCAWEB;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;02351877000152;04/06/2023
MAPT;MAPT4, MAPT3;CEMEPE;OUTROS;OUTROS;OUTROS;NI;93828986000173;04/06/2023
MATD;MATD3;MATER DEI;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;16676520000159;04/06/2023
MBLY;MBLY3;MOBLY;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;31553627000101;04/06/2023
MCRJ;NI;CEPAC - MCRJ;FINANCEIRO;OUTROS TÍTULOS;OUTROS TÍTULOS;MB;99999999999999;04/06/2023
MDIA;MDIA3;M.DIASBRANCO;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;ALIMENTOS DIVERSOS;NM;07206816000115;04/06/2023
MDNE;MDNE3;MOURA DUBEUX;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;12049631000184;04/06/2023
MEAL;MEAL3;IMC S/A;CONSUMO CÍCLICO;HOTEIS E RESTAURANTES;RESTAURANTE E SIMILARES;NM;17314329000120;04/06/2023
MELK;MELK3;MELNICK;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;12181987000177;04/06/2023
MERC;MERC3, MERC4;MERC FINANC;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;SOC. CRÉDITO E FINANCIAMENTO;NI;33040601000187;04/06/2023
MGEL;MGEL3, MGEL4;MANGELS INDL;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;ARTEFATOS DE FERRO E AÇO;NI;61065298000102;04/06/2023
MGIP;NI;MGI PARTICIP;OUTROS;OUTROS;OUTROS;NI;99999999999999;04/06/2023
MGLU;MGLU3;MAGAZ LUIZA;CONSUMO CÍCLICO;COMÉRCIO;ELETRODOMÉSTICOS;NM;47960950000121;04/06/2023
MILS;MILS3;MILLS;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;SERVIÇOS DIVERSOS;NM;27093558000115;04/06/2023
MLAS;MLAS3;MULTILASER;TECNOLOGIA DA INFORMAÇÃO;COMPUTADORES E EQUIPAMENTOS;COMPUTADORES E EQUIPAMENTOS;NM;59717553000102;04/06/2023
MMAQ;MMAQ3, MMAQ4;MINASMAQUINA;BENS INDUSTRIAIS;COMÉRCIO;MATERIAL DE TRANSPORTE;NI;17161241000115;04/06/2023
MMXM;MMXM3;MMX MINER;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;NM;02762115000149;04/06/2023
MNDL;MNDL3;MUNDIAL;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;ACESSÓRIOS;NI;88610191000154;04/06/2023
MNPR;MNPR3;MINUPAR;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;CARNES E DERIVADOS;NI;90076886000140;04/06/2023
MNZC;MNZC3B;MENEZES CORT;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;MB;02664042000152;04/06/2023
MOAR;MOAR3;MONT ARANHA;FINANCEIRO;HOLDINGS DIVERSIFICADAS;HOLDINGS DIVERSIFICADAS;NI;33102476000192;04/06/2023
MODL;MODL3, MODL4, MODL11;MODALMAIS;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;N2;30723886000162;04/06/2023
MOSI;MOSI3;MOSAICO;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;09083175000184;04/06/2023
MOVI;MOVI3;MOVIDA;CONSUMO CÍCLICO;DIVERSOS;ALUGUEL DE CARROS;NM;21314559000166;04/06/2023
MRFG;MRFG3;MARFRIG;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;CARNES E DERIVADOS;NM;03853896000140;04/06/2023
MRSA;MRSA3B, MRSA5B, MRSA6B;MRS LOGIST;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE FERROVIÁRIO;MB;01417222000177;04/06/2023
MRVE;MRVE3;MRV;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;08343492000120;04/06/2023
MSPA;MSPA3, MSPA4;MELHOR SP;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;NI;60730348000166;04/06/2023
MSRO;MSRO3;MAESTROLOC;CONSUMO CÍCLICO;DIVERSOS;ALUGUEL DE CARROS;M2;08795211000170;04/06/2023
MTIG;MTIG3, MTIG4;METAL IGUACU;MATERIAIS BÁSICOS;EMBALAGENS;EMBALAGENS;NI;80227184000166;04/06/2023
MTRE;MTRE3;MITRE REALTY;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;07882930000165;04/06/2023
MTSA;MTSA3, MTSA4;METISA;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. CONSTRUÇÃO E AGRÍCOLAS;NI;86375425000109;04/06/2023
MULT;MULT3;MULTIPLAN;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;N2;07816890000153;04/06/2023
MWET;MWET3, MWET4;WETZEL S/A;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;NI;84683671000194;04/06/2023
MYPK;MYPK3;IOCHP-MAXION;CONSUMO CÍCLICO;AUTOMÓVEIS E MOTOCICLETAS;AUTOMÓVEIS E MOTOCICLETAS;NM;61156113000175;04/06/2023
NEMO;NEMO3, NEMO5, NEMO6;SUZANO HOLD;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;NI;60651809000105;04/06/2023
NEOE;NEOE3;NEOENERGIA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NM;01083200000118;04/06/2023
NGRD;NGRD3;NEOGRID;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;10139870000108;04/06/2023
NINJ;NINJ3;GETNINJAS;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;14127813000151;04/06/2023
NORD;NORD3;NORDON MET;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;NI;60884319000159;04/06/2023
NRTQ;NRTQ3;NORTCQUIMICA;SAÚDE;MEDICAMENTOS E OUTROS PRODUTOS;MEDICAMENTOS E OUTROS PRODUTOS;MA;29950060000157;04/06/2023
NTCO;NTCO3;GRUPO NATURA;CONSUMO NÃO CÍCLICO;PRODUTOS DE USO PESSOAL E DE LIMPEZA;PRODUTOS DE USO PESSOAL;NM;32785497000197;04/06/2023
NUTR;NI;NUTRIPLANT;MATERIAIS BÁSICOS;QUÍMICOS;FERTILIZANTES E DEFENSIVOS;MA;99999999999999;04/06/2023
OCTS;NI;OCTANTE SEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;NI;99999999999999;04/06/2023
ODER;ODER3, ODER4;ODERICH;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;ALIMENTOS DIVERSOS;NI;97191902000194;04/06/2023
ODPV;ODPV3;ODONTOPREV;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;58119199000151;04/06/2023
OFSA;OFSA3;OUROFINO S/A;SAÚDE;MEDICAMENTOS E OUTROS PRODUTOS;MEDICAMENTOS E OUTROS PRODUTOS;NM;20258278000170;04/06/2023
OIBR;OIBR4, OIBR3;OI;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;N1;76535764000143;04/06/2023
OMGE;OMGE3;OMEGA GER;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NM;09149503000106;04/06/2023
ONCO;ONCO3;ONCOCLINICAS;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;12104241000402;04/06/2023
OPCT;OPCT3;OCEANPACT;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EQUIPAMENTOS E SERVIÇOS;NM;09114805000130;04/06/2023
OPGM;OPGM3B;GAMA PART;OUTROS;OUTROS;OUTROS;MB;02796775000140;04/06/2023
OPHE;OPHE3B;OPPORT ENERG;OUTROS;OUTROS;OUTROS;MB;02318346000168;04/06/2023
OPSE;OPSE3B;SUDESTE S/A;OUTROS;OUTROS;OUTROS;MB;02062747000108;04/06/2023
OPTS;OPTS3B;SUL 116 PART;OUTROS;OUTROS;OUTROS;MB;01957772000189;04/06/2023
ORVR;ORVR3;ORIZON;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;NM;11421994000136;04/06/2023
OSXB;OSXB3;OSX BRASIL;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EQUIPAMENTOS E SERVIÇOS;NM;09112685000132;04/06/2023
PALF;NI;PAUL F LUZ;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;99999999999999;04/06/2023
PARD;PARD3;IHPARDINI;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;19378769000176;04/06/2023
PATI;PATI3, PATI4;PANATLANTICA;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;ARTEFATOS DE FERRO E AÇO;NI;92693019000189;04/06/2023
PCAR;PCAR3;P.ACUCAR-CBD;CONSUMO NÃO CÍCLICO;COMÉRCIO E DISTRIBUIÇÃO;ALIMENTOS;N1;47508411000156;04/06/2023
PDGR;PDGR3;PDG REALT;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;02950811000189;04/06/2023
PDGS;NI;PDG SECURIT;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;NI;99999999999999;04/06/2023
PEAB;PEAB3, PEAB4;PAR AL BAHIA;FINANCEIRO;HOLDINGS DIVERSIFICADAS;HOLDINGS DIVERSIFICADAS;NI;01938783000111;04/06/2023
PETR;PETR4, PETR3;PETROBRAS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;N2;33000167000101;04/06/2023
PETZ;PETZ3;PETZ;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;NM;18328118000109;04/06/2023
PFRM;PFRM3;PROFARMA;SAÚDE;COMÉRCIO E DISTRIBUIÇÃO;MEDICAMENTOS E OUTROS PRODUTOS;NM;45453214000151;04/06/2023
PINE;PINE3, PINE4;PINE;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;N2;62144175000120;04/06/2023
PLAS;PLAS3;PLASCAR PART;CONSUMO CÍCLICO;AUTOMÓVEIS E MOTOCICLETAS;AUTOMÓVEIS E MOTOCICLETAS;NI;51928174000150;04/06/2023
PLPL;PLPL3;PLANOEPLANO;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;24230275000180;04/06/2023
PLSC;NI;POLO CAP SEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;NI;99999999999999;04/06/2023
PMAM;PMAM3;PARANAPANEMA;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;ARTEFATOS DE COBRE;NM;60398369000479;04/06/2023
PMSP;NI;CEPAC - PMSP;FINANCEIRO;OUTROS TÍTULOS;OUTROS TÍTULOS;MB;99999999999999;04/06/2023
PNVL;PNVL4, PNVL3;DIMED;SAÚDE;COMÉRCIO E DISTRIBUIÇÃO;MEDICAMENTOS E OUTROS PRODUTOS;NI;92665611000177;04/06/2023
POMO;POMO4, POMO3;MARCOPOLO;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;N2;88611835000129;04/06/2023
POSI;POSI3;POSITIVO TEC;TECNOLOGIA DA INFORMAÇÃO;COMPUTADORES E EQUIPAMENTOS;COMPUTADORES E EQUIPAMENTOS;NM;81243735000148;04/06/2023
POWE;POWE3;FOCUS ON;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NM;26735020000102;04/06/2023
PPAR;PPAR3;POLPAR;OUTROS;OUTROS;OUTROS;NI;59789545000171;04/06/2023
PPLA;PPLA11;PPLA;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;GESTÃO DE RECURSOS E INVESTIMENTOS;DR3;15073274000188;04/06/2023
PRBC;NI;PARANA;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;NI;99999999999999;04/06/2023
PRIO;PRIO3;PETRORIO;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;NM;10629105000168;04/06/2023
PRMN;PRMN3B;PROMAN;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;MB;02291077000193;04/06/2023
PRNR;PRNR3;PRINER;BENS INDUSTRIAIS;SERVIÇOS DIVERSOS;SERVIÇOS DIVERSOS;MA;18593815000197;04/06/2023
PRPT;PRPT3B;PROMPT PART;OUTROS;OUTROS;OUTROS;MB;02992449000109;04/06/2023
PSSA;PSSA3;PORTO SEGURO;FINANCEIRO;PREVIDÊNCIA E SEGUROS;SEGURADORAS;NM;02149205000169;04/06/2023
PSVM;PSVM11;PORTO VM;BENS INDUSTRIAIS;TRANSPORTE;SERVIÇOS DE APOIO E ARMAZENAGEM;NI;18494485000182;04/06/2023
PTBL;PTBL3;PORTOBELLO;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;PRODUTOS PARA CONSTRUÇÃO;NM;83475913000191;04/06/2023
PTCA;PTCA11, PTCA3;PRATICA;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;M2;08574411000100;04/06/2023
PTNT;PTNT3, PTNT4;PETTENATI;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;NI;88613658000110;04/06/2023
QUAL;QUAL3;QUALICORP;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;11992680000193;04/06/2023
QUSW;QUSW3;QUALITY SOFT;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;MA;35791391000194;04/06/2023
QVQP;QVQP3B;524 PARTICIP;OUTROS;OUTROS;OUTROS;MB;01851771000155;04/06/2023
RADL;RADL3;RAIADROGASIL;SAÚDE;COMÉRCIO E DISTRIBUIÇÃO;MEDICAMENTOS E OUTROS PRODUTOS;NM;61585865000151;04/06/2023
RAIL;RAIL3;RUMO S.A.;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE FERROVIÁRIO;NM;02387241000160;04/06/2023
RAIZ;RAIZ4;RAIZEN;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;N2;33453598000123;04/06/2023
RANI;RANI3, RANI4;IRANI;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;NI;92791243000103;04/06/2023
RAPT;RAPT4, RAPT3;RANDON PART;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;N1;89086144000116;04/06/2023
RBNS;RBNS11;RODOBENS;BENS INDUSTRIAIS;COMÉRCIO;MATERIAL DE TRANSPORTE;NI;59981829000165;04/06/2023
RBRA;NI;RBCAPITALRES;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;MB;99999999999999;04/06/2023
RCSL;RCSL3, RCSL4;RECRUSUL;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;NI;91333666000117;04/06/2023
RDNI;RDNI3;RNI;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;67010660000124;04/06/2023
RDOR;RDOR3;REDE D OR;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;06047087000139;04/06/2023
RDVT;NI;ROD TIETE;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;NI;99999999999999;04/06/2023
RECV;RECV3;PETRORECSA;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;NM;03342704000130;04/06/2023
REDE;REDE3;REDE ENERGIA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;61584140000149;04/06/2023
RENT;RENT3;LOCALIZA;CONSUMO CÍCLICO;DIVERSOS;ALUGUEL DE CARROS;NM;16670085000155;04/06/2023
RESA;NI;RAIZEN ENERG;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;AÇUCAR E ALCOOL;NI;99999999999999;04/06/2023
RLOG;RLOG3;COSAN LOG;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE FERROVIÁRIO;NM;17346997000139;04/06/2023
RNEW;RNEW11, RNEW4, RNEW3;RENOVA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N2;08534605000174;04/06/2023
ROMI;ROMI3;INDS ROMI;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;NM;56720428000163;04/06/2023
RPAD;RPAD3, RPAD5, RPAD6;ALFA HOLDING;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;NI;17167396000169;04/06/2023
RPMG;RPMG3;PET MANGUINH;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;NI;33412081000196;04/06/2023
RPTA;NI;CONC RAPOSO;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;NI;99999999999999;04/06/2023
RRRP;RRRP3;3R PETROLEUM;PETRÓLEO. GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO. GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO;NM;12091809000155;04/06/2023
RSID;RSID3;ROSSI RESID;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;61065751000180;04/06/2023
RSUL;RSUL3, RSUL4;RIOSULENSE;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;NI;85778074000106;04/06/2023
SAIP;NI;SALUS INFRA;BENS INDUSTRIAIS;TRANSPORTE;SERVIÇOS DE APOIO E ARMAZENAGEM;NI;99999999999999;04/06/2023
SANB;SANB4, SANB3, SANB11;SANTANDER BR;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;NI;90400888000142;04/06/2023
SAPR;SAPR4, SAPR3, SAPR11;SANEPAR;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;N2;76484013000145;04/06/2023
SBSP;SBSP3;SABESP;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;NM;43776517000180;04/06/2023
SCAR;SCAR3;SAO CARLOS;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;NM;29780061000109;04/06/2023
SEER;SEER3;SER EDUCA;CONSUMO CÍCLICO;DIVERSOS;SERVIÇOS EDUCACIONAIS;NM;04986320000113;04/06/2023
SEQL;SEQL3;SEQUOIA LOG;BENS INDUSTRIAIS;SERVIÇOS;SERVIÇOS DIVERSOS;NM;01599101000193;04/06/2023
SGPS;SGPS3;SPRINGS;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;NM;07718269000157;04/06/2023
SHOW;SHOW3;TIME FOR FUN;CONSUMO CÍCLICO;VIAGENS E LAZER;PRODUÇÃO DE EVENTOS E SHOWS;NM;02860694000162;04/06/2023
SHUL;SHUL4, SHUL3;SCHULZ;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MOTORES, COMPRESSORES E OUTROS;NI;84693183000168;04/06/2023
SIMH;SIMH3;SIMPAR;FINANCEIRO;HOLDINGS DIVERSIFICADAS;HOLDINGS DIVERSIFICADAS;NM;07415333000120;04/06/2023
SLCE;SLCE3;SLC AGRICOLA;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;89096457000155;04/06/2023
SLCT;SLCT3B;SELECTPART;OUTROS;OUTROS;OUTROS;MB;02604860000160;04/06/2023
SLED;SLED4, SLED3;SARAIVA LIVR;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;N2;60500139000126;04/06/2023
SMFT;SMFT3;SMART FIT;CONSUMO CÍCLICO;VIAGENS E LAZER;ATIVIDADES ESPORTIVAS;M2;07594978000178;04/06/2023
SMLS;SMLS3;SMILES;CONSUMO CÍCLICO;DIVERSOS;PROGRAMAS DE FIDELIZAÇÃO;NM;05730375000120;04/06/2023
SMTO;SMTO3;SAO MARTINHO;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;AÇUCAR E ALCOOL;NM;51466860000156;04/06/2023
SNST;NI;SANESALTO;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;NI;99999999999999;04/06/2023
SNSY;SNSY3, SNSY5, SNSY6;SANSUY;MATERIAIS BÁSICOS;MATERIAIS DIVERSOS;MATERIAIS DIVERSOS;NI;14807945000124;04/06/2023
SOJA;SOJA3;BOA SAFRA;CONSUMO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;10807374000177;04/06/2023
SOMA;SOMA3;GRUPO SOMA;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;NM;10285590000108;04/06/2023
SOND;SOND3, SOND5, SOND6;SONDOTECNICA;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;ENGENHARIA CONSULTIVA;NI;33386210000119;04/06/2023
SPRI;SPRI3, SPRI5, SPRI6;SPRINGER;FINANCEIRO;HOLDINGS DIVERSIFICADAS;HOLDINGS DIVERSIFICADAS;NI;92929520000100;04/06/2023
SPRT;NI;LONGDIS;OUTROS;OUTROS;OUTROS;MB;99999999999999;04/06/2023
SQIA;SQIA3;SINQIA;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;04065791000199;04/06/2023
STBP;STBP3;SANTOS BRP;BENS INDUSTRIAIS;TRANSPORTE;SERVIÇOS DE APOIO E ARMAZENAGEM;N2;02762121000104;04/06/2023
STEN;NI;STO ANTONIO;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;99999999999999;04/06/2023
STKF;STKF3;STATKRAFT;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;00622416000141;04/06/2023
