cod_acao_rdz;cod_acao;razao_social;dsc_setor_economico;dsc_subsetor;dsc_segmento;segmento_b3;cnpj;dt_carga
CSMG;CSMG3;COPASA;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;NM;17281106000103;04/06/2023
CSNA;CSNA3;SID NACIONAL;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;NI;33042730000104;04/06/2023
CSRN;CSRN3, CSRN5, CSRN6;COSERN;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;08324196000181;04/06/2023
CTBA;NI;CEPAC - CTBA;FINANCEIRO;OUTROS TÍTULOS;OUTROS TÍTULOS;MB;99999999999999;04/06/2023
CTKA;CTKA4, CTKA3;KARSTEN;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;NI;82640558000104;04/06/2023
CTNM;CTNM4, CTNM3;COTEMINAS;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;NI;22677520000176;04/06/2023
CTSA;CTSA3, CTSA4, CTSA8;SANTANENSE;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;NI;21255567000189;04/06/2023
CURY;CURY3;CURY S/A;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;08797760000183;04/06/2023
CVCB;CVCB3;CVC BRASIL;CONSUMO CÍCLICO;VIAGENS E LAZER;VIAGENS E TURISMO;NM;10760260000119;04/06/2023
CYRE;CYRE3;CYRELA REALT;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;73178600000118;04/06/2023
DASA;DASA3;DASA;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NI;61486650000183;04/06/2023
DBEN;NI;DIBENS LSG;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;SOC. ARRENDAMENTO MERCANTIL;NI;99999999999999;04/06/2023
DESK;DESK3;DESKTOP;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;NM;08170849000115;04/06/2023
DIRR;DIRR3;DIRECIONAL;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;16614075000100;04/06/2023
DMMO;DMMO11, DMMO3;DOMMO;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;NI;08926302000105;04/06/2023
DMVF;DMVF3;D1000VFARMA;SAÚDE;COMÉRCIO E DISTRIBUIÇÃO;MEDICAMENTOS E OUTROS PRODUTOS;NM;12108897000150;04/06/2023
DOHL;DOHL3, DOHL4;DOHLER;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;NI;84683408000103;04/06/2023
DOTZ;DOTZ3;DOTZ SA;CONSUMO CÍCLICO;DIVERSOS;PROGRAMAS DE FIDELIZAÇÃO;NM;18174270000184;04/06/2023
DTCY;DTCY3, DTCY4;DTCOM-DIRECT;BENS INDUSTRIAIS;SERVIÇOS DIVERSOS;SERVIÇOS DIVERSOS;NI;03303999000136;04/06/2023
DTEX;DTEX3;DURATEX;MATERIAIS BÁSICOS;MADEIRA E PAPEL;MADEIRA;NM;97837181000147;04/06/2023
EALT;EALT3, EALT4;ACO ALTONA;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;NI;82643537000134;04/06/2023
EBEN;NI;EBE;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;99999999999999;04/06/2023
ECNT;NI;ECONORTE;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;NI;99999999999999;04/06/2023
ECOA;NI;ECO SEC AGRO;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;MB;99999999999999;04/06/2023
ECOR;ECOR3;ECORODOVIAS;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;NM;04149454000180;04/06/2023
ECOV;NI;ECOVIAS;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;NI;99999999999999;04/06/2023
ECPR;ECPR3, ECPR4;ENCORPAR;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;NI;01971614000183;04/06/2023
EEEL;EEEL4, EEEL3;CEEE-GT;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N1;92715812000131;04/06/2023
EGIE;EGIE3;ENGIE BRASIL;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NM;02474103000119;04/06/2023
EKTR;EKTR3, EKTR4;ELEKTRO;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;02328280000197;04/06/2023
ELEK;ELEK3, ELEK4;ELEKEIROZ;MATERIAIS BÁSICOS;QUÍMICOS;PETROQUÍMICOS;NI;13788120000147;04/06/2023
ELET;ELET3, ELET5, ELET6;ELETROBRAS;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N1;00001180000126;04/06/2023
ELMD;ELMD3;ELETROMIDIA;COMUNICAÇÕES;MÍDIA;PUBLICIDADE E PROPAGANDA;NM;09347516000181;04/06/2023
EMAE;EMAE3, EMAE4;EMAE;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;02302101000142;04/06/2023
EMBR;EMBR3;EMBRAER;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL AERONÁUTICO E DE DEFESA;NM;07689002000189;04/06/2023
ENAT;ENAT3;ENAUTA PART;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;NM;11669021000110;04/06/2023
ENBR;ENBR3;ENERGIAS BR;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NM;03983431000103;04/06/2023
ENER;NI;ENERSUL;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;99999999999999;04/06/2023
ENEV;ENEV3;ENEVA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NM;04423567000121;04/06/2023
ENGI;ENGI11, ENGI3, ENGI4;ENERGISA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N2;00864214000106;04/06/2023
ENJU;ENJU3;ENJOEI;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;16922038000151;04/06/2023
ENMT;ENMT3, ENMT4;ENERGISA MT;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;03467321000199;04/06/2023
EQMA;NI;EQTLMARANHAO;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;MB;99999999999999;04/06/2023
EQPA;EQPA3, EQPA5, EQPA6, EQPA7;EQTL PARA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;04895728000180;04/06/2023
EQTL;EQTL3;EQUATORIAL;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NM;03220438000173;04/06/2023
ERDV;NI;ECON;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;NI;99999999999999;04/06/2023
ESCE;NI;ESCELSA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;99999999999999;04/06/2023
ESPA;ESPA3;ESPACOLASER;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;NM;26659061000159;04/06/2023
ESTR;ESTR4, ESTR3;ESTRELA;CONSUMO CÍCLICO;VIAGENS E LAZER;BRINQUEDOS E JOGOS;NI;61082004000150;04/06/2023
ETER;ETER3;ETERNIT;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;PRODUTOS PARA CONSTRUÇÃO;NM;61092037000181;04/06/2023
EUCA;EUCA4, EUCA3;EUCATEX;MATERIAIS BÁSICOS;MADEIRA E PAPEL;MADEIRA;N1;56643018000166;04/06/2023
EVEN;EVEN3;EVEN;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;43470988000165;04/06/2023
EZTC;EZTC3;EZTEC;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;08312229000173;04/06/2023
FESA;FESA4, FESA3;FERBASA;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;N1;15141799000103;04/06/2023
FGEN;NI;FGENERGIA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;99999999999999;04/06/2023
FHER;FHER3;FER HERINGER;MATERIAIS BÁSICOS;QUÍMICOS;FERTILIZANTES E DEFENSIVOS;NM;22266175000188;04/06/2023
FIGE;FIGE3, FIGE4;INVEST BEMGE;OUTROS;OUTROS;OUTROS;NI;01548981000179;04/06/2023
FIQE;FIQE3;UNIFIQUE;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;NM;02255187000108;04/06/2023
FLEX;FLEX3;FLEX S/A;BENS INDUSTRIAIS;SERVIÇOS DIVERSOS;SERVIÇOS DIVERSOS;MA;10851805000100;04/06/2023
FLRY;FLRY3;FLEURY;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;60840055000131;04/06/2023
FNCN;FNCN3;FINANSINOS;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;SOC. CRÉDITO E FINANCIAMENTO;NI;91669747000192;04/06/2023
FRAS;FRAS3;FRAS-LE;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;N1;88610126000129;04/06/2023
FRIO;FRIO3;METALFRIO;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;NM;04821041000108;04/06/2023
FRRN;FRRN3B, FRRN5B, FRRN6B;ALL NORTE;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE FERROVIÁRIO;MB;24962466000136;04/06/2023
FRTA;FRTA3;POMIFRUTAS;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;86550951000150;04/06/2023
